Supplementary data file  3: Differentially expressed genes,,,,,,,,,
Ensembl Gene ID,Gene Symbol,logFC,"95% Confidence Interval, lower bound","95% Confidence Interval,upper bound",Average Expression (pre-adjusted logCPM),t statistic,p-value,FDR estimate,B coefficient
ENSG00000160226,C21orf2,-1.30E-01,-2.00E-01,-6.12E-02,4.514,-3.699,2.37E-04,1.91E-02,0.2962516
ENSG00000140945,CDH13,1.24E-01,5.83E-02,1.90E-01,6.255,3.698,2.38E-04,1.91E-02,0.2379055
ENSG00000140104,C14orf79,-1.18E-01,-1.80E-01,-5.51E-02,3.367,-3.697,2.40E-04,1.91E-02,0.3391855
ENSG00000182600,C2orf82,-2.35E-01,-3.60E-01,-1.10E-01,3.9,-3.692,2.43E-04,1.93E-02,0.3011851
ENSG00000040608,RTN4R,-1.78E-01,-2.72E-01,-8.31E-02,3.883,-3.689,2.47E-04,1.95E-02,0.2925862
ENSG00000122566,HNRNPA2B1,1.07E-01,5.00E-02,1.64E-01,7.46,3.688,2.48E-04,1.95E-02,0.197009
ENSG00000112146,FBXO9,-8.88E-02,-1.36E-01,-4.15E-02,6.569,-3.684,2.51E-04,1.95E-02,0.1846398
ENSG00000174032,SLC25A30,7.98E-02,3.72E-02,1.22E-01,3.636,3.684,2.52E-04,1.95E-02,0.2818041
ENSG00000184602,SNN,-9.95E-02,-1.53E-01,-4.65E-02,7.741,-3.683,2.52E-04,1.95E-02,0.1824537
ENSG00000035862,TIMP2,1.00E-01,4.68E-02,1.54E-01,6.185,3.679,2.56E-04,1.97E-02,0.1705302
ENSG00000226757,.,-1.46E-01,-2.24E-01,-6.80E-02,1.212,-3.674,2.61E-04,2.00E-02,0.2526385
ENSG00000184924,PTRHD1,-1.16E-01,-1.78E-01,-5.38E-02,3.169,-3.671,2.64E-04,2.00E-02,0.2588619
ENSG00000129235,TXNDC17,-9.10E-02,-1.40E-01,-4.23E-02,3.345,-3.67,2.65E-04,2.00E-02,0.24781
ENSG00000178814,OPLAH,-1.84E-01,-2.83E-01,-8.54E-02,2.627,-3.666,2.69E-04,2.00E-02,0.2589436
ENSG00000238098,ABCA17P,1.24E-01,5.77E-02,1.91E-01,2.317,3.666,2.69E-04,2.00E-02,0.2608036
ENSG00000167705,RILP,-1.29E-01,-1.98E-01,-5.98E-02,2.793,-3.666,2.69E-04,2.00E-02,0.2545445
ENSG00000248487,ABHD14A,-1.16E-01,-1.79E-01,-5.40E-02,3.66,-3.666,2.69E-04,2.00E-02,0.2224492
ENSG00000115226,FNDC4,-1.23E-01,-1.88E-01,-5.69E-02,5.578,-3.666,2.69E-04,2.00E-02,0.1415652
ENSG00000198586,TLK1,8.71E-02,4.04E-02,1.34E-01,7.163,3.664,2.71E-04,2.00E-02,0.1145082
ENSG00000205704,LINC00634,-1.74E-01,-2.68E-01,-8.06E-02,3.076,-3.657,2.78E-04,2.05E-02,0.216632
ENSG00000149761,NUDT22,-1.31E-01,-2.02E-01,-6.08E-02,3.442,-3.655,2.80E-04,2.06E-02,0.1965329
ENSG00000167779,IGFBP6,-1.49E-01,-2.29E-01,-6.89E-02,2.838,-3.65,2.86E-04,2.07E-02,0.1989057
ENSG00000100865,CINP,-7.83E-02,-1.21E-01,-3.62E-02,4.881,-3.65,2.86E-04,2.07E-02,0.1070091
ENSG00000063176,SPHK2,-1.33E-01,-2.04E-01,-6.13E-02,4.176,-3.649,2.87E-04,2.07E-02,0.1408126
ENSG00000173566,NUDT18,-1.72E-01,-2.64E-01,-7.92E-02,2.433,-3.649,2.88E-04,2.07E-02,0.2011513
ENSG00000167740,CYB5D2,-9.23E-02,-1.42E-01,-4.26E-02,4.496,-3.646,2.90E-04,2.08E-02,0.1141374
ENSG00000010319,SEMA3G,-2.50E-01,-3.85E-01,-1.15E-01,2.268,-3.644,2.93E-04,2.09E-02,0.1873784
ENSG00000205791,LOH12CR2,-1.16E-01,-1.78E-01,-5.33E-02,2.038,-3.641,2.96E-04,2.09E-02,0.1750622
ENSG00000101400,SNTA1,-1.43E-01,-2.20E-01,-6.57E-02,6.064,-3.64,2.97E-04,2.09E-02,0.0397075
ENSG00000269176,.,-1.27E-01,-1.96E-01,-5.86E-02,1.101,-3.64,2.97E-04,2.09E-02,0.1389505
ENSG00000056586,RC3H2,7.21E-02,3.32E-02,1.11E-01,7.565,3.639,2.98E-04,2.09E-02,0.0276657
ENSG00000120868,APAF1,7.85E-02,3.61E-02,1.21E-01,5.686,3.637,3.00E-04,2.10E-02,0.0338561
ENSG00000103740,ACSBG1,-1.43E-01,-2.20E-01,-6.58E-02,5.78,-3.634,3.04E-04,2.11E-02,0.024201
ENSG00000170153,RNF150,1.19E-01,5.46E-02,1.83E-01,5.197,3.634,3.04E-04,2.11E-02,0.0383504
ENSG00000152484,USP12,8.33E-02,3.82E-02,1.28E-01,6.71,3.628,3.12E-04,2.15E-02,-0.0123994
ENSG00000175105,ZNF654,9.19E-02,4.21E-02,1.42E-01,5.713,3.624,3.16E-04,2.17E-02,-0.011006
ENSG00000236576,.,2.06E-01,9.42E-02,3.17E-01,4.92E-01,3.623,3.17E-04,2.17E-02,0.039346
ENSG00000014914,MTMR11,1.31E-01,5.98E-02,2.01E-01,2.42,3.622,3.18E-04,2.17E-02,0.1147589
ENSG00000176340,COX8A,-1.58E-01,-2.43E-01,-7.21E-02,6.242,-3.62,3.20E-04,2.17E-02,-0.0286879
ENSG00000124104,SNX21,-1.03E-01,-1.59E-01,-4.72E-02,4.154,-3.619,3.22E-04,2.17E-02,0.0388
ENSG00000101189,MRGBP,-8.37E-02,-1.29E-01,-3.83E-02,3.369,-3.617,3.24E-04,2.18E-02,0.069474
ENSG00000157593,SLC35B2,-1.14E-01,-1.76E-01,-5.19E-02,4.117,-3.614,3.28E-04,2.20E-02,0.0209666
ENSG00000138629,UBL7,-1.05E-01,-1.62E-01,-4.79E-02,4.479,-3.613,3.29E-04,2.20E-02,0.0015647
ENSG00000260578,.,1.69E-01,7.69E-02,2.61E-01,1.275,3.604,3.40E-04,2.26E-02,0.0349235
ENSG00000151611,MMAA,1.08E-01,4.92E-02,1.67E-01,3.273,3.604,3.41E-04,2.26E-02,0.0282123
ENSG00000170075,GPR37L1,-1.87E-01,-2.89E-01,-8.50E-02,5.51,-3.599,3.48E-04,2.29E-02,-0.0885649
ENSG00000128059,PPAT,7.60E-02,3.45E-02,1.18E-01,5.228,3.595,3.52E-04,2.31E-02,-0.094085
ENSG00000236279,CLEC2L,-1.39E-01,-2.16E-01,-6.32E-02,3.248,-3.594,3.53E-04,2.31E-02,0.0007144
ENSG00000118729,CASQ2,-2.66E-01,-4.11E-01,-1.21E-01,3.00E-01,-3.593,3.54E-04,2.31E-02,-0.0660472
ENSG00000162971,TYW5,8.77E-02,3.97E-02,1.36E-01,4.641,3.592,3.57E-04,2.31E-02,-0.0824193
ENSG00000128881,TTBK2,8.84E-02,4.00E-02,1.37E-01,8.064,3.588,3.62E-04,2.33E-02,-0.1443364
ENSG00000132164,SLC6A11,-1.29E-01,-2.00E-01,-5.85E-02,4.93,-3.588,3.62E-04,2.33E-02,-0.1052401
ENSG00000108256,NUFIP2,8.76E-02,3.97E-02,1.36E-01,7.941,3.587,3.63E-04,2.33E-02,-0.1479047
ENSG00000107537,PHYH,-8.12E-02,-1.26E-01,-3.67E-02,4.289,-3.586,3.64E-04,2.33E-02,-0.0809019
ENSG00000132563,REEP2,-1.08E-01,-1.67E-01,-4.88E-02,6.079,-3.584,3.67E-04,2.33E-02,-0.1522738
ENSG00000178163,ZNF518B,6.98E-02,3.16E-02,1.08E-01,6.372,3.582,3.70E-04,2.33E-02,-0.1649795
ENSG00000010379,SLC6A13,-2.16E-01,-3.34E-01,-9.75E-02,1.512,-3.582,3.70E-04,2.33E-02,-0.0253364
ENSG00000080824,HSP90AA1,1.48E-01,6.68E-02,2.29E-01,1.01E+01,3.582,3.70E-04,2.33E-02,-0.1453598
ENSG00000144550,CPNE9,-1.34E-01,-2.07E-01,-6.05E-02,3.765,-3.58,3.72E-04,2.33E-02,-0.0699736
ENSG00000135870,RC3H1,9.81E-02,4.43E-02,1.52E-01,6.506,3.579,3.73E-04,2.33E-02,-0.1765153
ENSG00000071073,MGAT4A,7.85E-02,3.54E-02,1.22E-01,7.437,3.578,3.75E-04,2.34E-02,-0.1808289
ENSG00000269138,ZNF209P,-2.49E-01,-3.86E-01,-1.12E-01,9.27E-01,-3.577,3.77E-04,2.34E-02,-0.0748899
ENSG00000105669,COPE,-1.10E-01,-1.70E-01,-4.95E-02,5.42,-3.573,3.82E-04,2.35E-02,-0.1714292
ENSG00000159784,FAM131B,-8.70E-02,-1.35E-01,-3.92E-02,7.335,-3.573,3.82E-04,2.35E-02,-0.1964555
ENSG00000255248,.,9.83E-02,4.43E-02,1.52E-01,6.977,3.572,3.84E-04,2.35E-02,-0.2024253
ENSG00000055332,EIF2AK2,8.86E-02,3.98E-02,1.37E-01,7.504,3.57,3.87E-04,2.36E-02,-0.209232
ENSG00000113916,BCL6,1.56E-01,7.02E-02,2.42E-01,4.838,3.569,3.88E-04,2.36E-02,-0.1665801
ENSG00000176273,SLC35G1,-1.28E-01,-1.98E-01,-5.75E-02,1.819,-3.568,3.89E-04,2.36E-02,-0.0613685
ENSG00000172889,EGFL7,-1.29E-01,-2.00E-01,-5.78E-02,4.919,-3.568,3.90E-04,2.36E-02,-0.1693912
ENSG00000196372,ASB13,-9.93E-02,-1.54E-01,-4.46E-02,4.6,-3.564,3.95E-04,2.37E-02,-0.1677429
ENSG00000083799,CYLD,7.66E-02,3.44E-02,1.19E-01,7.462,3.564,3.96E-04,2.37E-02,-0.2284645
ENSG00000081692,JMJD4,-1.14E-01,-1.76E-01,-5.09E-02,3.424,-3.555,4.09E-04,2.44E-02,-0.1371923
ENSG00000260214,.,1.51E-01,6.76E-02,2.35E-01,4.58,3.553,4.13E-04,2.44E-02,-0.2091416
ENSG00000168936,TMEM129,-1.46E-01,-2.27E-01,-6.54E-02,4.784,-3.553,4.13E-04,2.44E-02,-0.2158525
ENSG00000257742,.,1.27E-01,5.68E-02,1.97E-01,4.317,3.552,4.13E-04,2.44E-02,-0.1984853
ENSG00000163481,RNF25,-9.94E-02,-1.54E-01,-4.45E-02,3.424,-3.551,4.14E-04,2.44E-02,-0.150483
ENSG00000172757,CFL1,-1.02E-01,-1.58E-01,-4.55E-02,7.832,-3.549,4.18E-04,2.45E-02,-0.2754986
ENSG00000143776,CDC42BPA,7.29E-02,3.25E-02,1.13E-01,8.442,3.549,4.19E-04,2.45E-02,-0.2744305
ENSG00000166750,SLFN5,1.15E-01,5.12E-02,1.78E-01,4.824,3.547,4.21E-04,2.45E-02,-0.2408535
ENSG00000227799,.,-1.43E-01,-2.22E-01,-6.38E-02,9.23E-01,-3.545,4.25E-04,2.46E-02,-0.1732314
ENSG00000123496,IL13RA2,2.09E-01,9.30E-02,3.24E-01,3.78E-01,3.544,4.26E-04,2.46E-02,-0.2020544
ENSG00000102225,CDK16,-1.13E-01,-1.76E-01,-5.04E-02,5.766,-3.542,4.30E-04,2.47E-02,-0.2896393
ENSG00000170522,ELOVL6,9.98E-02,4.44E-02,1.55E-01,5.658,3.542,4.30E-04,2.47E-02,-0.2893745
ENSG00000145911,N4BP3,-1.17E-01,-1.82E-01,-5.19E-02,3.883,-3.535,4.41E-04,2.52E-02,-0.2283354
ENSG00000153914,SREK1,9.52E-02,4.23E-02,1.48E-01,7.063,3.534,4.42E-04,2.52E-02,-0.3304448
ENSG00000105939,ZC3HAV1,1.54E-01,6.84E-02,2.40E-01,4.309,3.53,4.49E-04,2.55E-02,-0.2710716
ENSG00000234661,CHL1-AS1,1.79E-01,7.95E-02,2.79E-01,7.12E-01,3.526,4.55E-04,2.58E-02,-0.2417155
ENSG00000135469,COQ10A,-9.31E-02,-1.45E-01,-4.12E-02,3.316,-3.525,4.57E-04,2.58E-02,-0.232663
ENSG00000168993,CPLX1,-1.80E-01,-2.80E-01,-7.95E-02,5.455,-3.523,4.60E-04,2.58E-02,-0.3402155
ENSG00000205795,CYS1,-1.40E-01,-2.18E-01,-6.19E-02,3.034,-3.523,4.61E-04,2.58E-02,-0.22607
ENSG00000235711,ANKRD34C,1.55E-01,6.86E-02,2.42E-01,3.482,3.515,4.74E-04,2.64E-02,-0.2737559
ENSG00000078596,ITM2A,-1.58E-01,-2.46E-01,-6.96E-02,5.673,-3.514,4.76E-04,2.64E-02,-0.3800769
ENSG00000114416,FXR1,8.63E-02,3.81E-02,1.35E-01,6.818,3.513,4.77E-04,2.64E-02,-0.3998431
ENSG00000176533,GNG7,-1.18E-01,-1.85E-01,-5.22E-02,5.626,-3.513,4.78E-04,2.64E-02,-0.3822134
ENSG00000134709,HOOK1,1.03E-01,4.52E-02,1.60E-01,6.563,3.51,4.83E-04,2.65E-02,-0.4089844
ENSG00000187778,MCRS1,-7.46E-02,-1.16E-01,-3.29E-02,5.117,-3.508,4.86E-04,2.65E-02,-0.3791124
ENSG00000103460,TOX3,1.60E-01,7.03E-02,2.49E-01,1.909,3.508,4.87E-04,2.65E-02,-0.2524533
ENSG00000162076,FLYWCH2,-1.21E-01,-1.88E-01,-5.30E-02,3.526,-3.508,4.87E-04,2.65E-02,-0.2979701
ENSG00000153814,JAZF1,1.13E-01,4.99E-02,1.77E-01,5.801,3.507,4.89E-04,2.65E-02,-0.4080488
ENSG00000163947,ARHGEF3,1.06E-01,4.68E-02,1.66E-01,6.36,3.506,4.90E-04,2.65E-02,-0.419525
ENSG00000162433,AK4,1.00E-01,4.41E-02,1.57E-01,6.338,3.504,4.94E-04,2.67E-02,-0.4289646
ENSG00000196628,TCF4,6.31E-02,2.77E-02,9.85E-02,8.85,3.502,4.97E-04,2.68E-02,-0.4260353
ENSG00000149357,LAMTOR1,-9.18E-02,-1.43E-01,-4.03E-02,4.724,-3.5,5.01E-04,2.69E-02,-0.3888566
ENSG00000073614,KDM5A,5.98E-02,2.62E-02,9.34E-02,7.022,3.496,5.08E-04,2.71E-02,-0.4566806
ENSG00000182809,CRIP2,-1.35E-01,-2.11E-01,-5.92E-02,5.285,-3.496,5.09E-04,2.71E-02,-0.4240658
ENSG00000263878,DLGAP1-AS4,-1.52E-01,-2.37E-01,-6.65E-02,2.116,-3.495,5.10E-04,2.71E-02,-0.2924478
ENSG00000169926,KLF13,-7.43E-02,-1.16E-01,-3.25E-02,7.046,-3.494,5.13E-04,2.72E-02,-0.4656168
ENSG00000176909,MAMSTR,-1.83E-01,-2.87E-01,-8.02E-02,-9.58E-05,-3.491,5.18E-04,2.73E-02,-0.414896
ENSG00000151458,ANKRD50,9.03E-02,3.95E-02,1.41E-01,6.218,3.491,5.19E-04,2.73E-02,-0.4702865
ENSG00000172795,DCP2,1.00E-01,4.36E-02,1.56E-01,7.377,3.484,5.31E-04,2.76E-02,-0.4958326
ENSG00000110011,DNAJC4,-1.23E-01,-1.92E-01,-5.35E-02,2.532,-3.484,5.32E-04,2.76E-02,-0.3335958
ENSG00000142609,C1orf222,-1.30E-01,-2.04E-01,-5.68E-02,2.509,-3.484,5.32E-04,2.76E-02,-0.333346
ENSG00000082898,XPO1,7.88E-02,3.44E-02,1.23E-01,8.087,3.483,5.33E-04,2.76E-02,-0.4945147
ENSG00000170703,TTLL6,-2.15E-01,-3.36E-01,-9.36E-02,4.12E-01,-3.483,5.34E-04,2.76E-02,-0.3989779
ENSG00000107949,BCCIP,9.79E-02,4.27E-02,1.53E-01,4.701,3.482,5.35E-04,2.76E-02,-0.4506713
ENSG00000120913,PDLIM2,-1.39E-01,-2.18E-01,-6.07E-02,2.685,-3.482,5.36E-04,2.76E-02,-0.3456525
ENSG00000236790,LINC00299,-1.36E-01,-2.13E-01,-5.93E-02,2.808,-3.479,5.41E-04,2.78E-02,-0.3590676
ENSG00000059915,PSD,-1.15E-01,-1.80E-01,-5.00E-02,7.583,-3.477,5.45E-04,2.79E-02,-0.5182448
ENSG00000153827,TRIP12,5.87E-02,2.56E-02,9.19E-02,8.154,3.476,5.46E-04,2.79E-02,-0.5171464
ENSG00000169100,SLC25A6,-1.05E-01,-1.65E-01,-4.58E-02,6.649,-3.476,5.48E-04,2.79E-02,-0.5221127
ENSG00000172748,ZNF596,-1.24E-01,-1.93E-01,-5.37E-02,3.252,-3.474,5.52E-04,2.80E-02,-0.3949022
ENSG00000058673,ZC3H11A,8.28E-02,3.60E-02,1.30E-01,7.248,3.472,5.56E-04,2.80E-02,-0.537459
ENSG00000047662,FAM184B,8.03E-02,3.48E-02,1.26E-01,5.244,3.471,5.58E-04,2.80E-02,-0.5124743
ENSG00000164066,INTU,8.47E-02,3.68E-02,1.33E-01,5.819,3.47,5.59E-04,2.80E-02,-0.5305895
ENSG00000096717,SIRT1,7.45E-02,3.23E-02,1.17E-01,5.289,3.47,5.59E-04,2.80E-02,-0.5155503
ENSG00000173542,MOB1B,1.13E-01,4.90E-02,1.77E-01,6.678,3.468,5.63E-04,2.81E-02,-0.5488545
ENSG00000120903,CHRNA2,-1.83E-01,-2.86E-01,-7.91E-02,1.316,-3.465,5.69E-04,2.83E-02,-0.3972079
ENSG00000155657,TTN,1.45E-01,6.26E-02,2.27E-01,7.102,3.465,5.70E-04,2.83E-02,-0.5604117
ENSG00000033011,ALG1,-8.06E-02,-1.26E-01,-3.49E-02,3.318,-3.464,5.72E-04,2.83E-02,-0.4295693
ENSG00000149091,DGKZ,-1.18E-01,-1.85E-01,-5.11E-02,7.659,-3.461,5.78E-04,2.83E-02,-0.56991
ENSG00000180155,LYNX1,-1.46E-01,-2.29E-01,-6.30E-02,7.093,-3.461,5.78E-04,2.83E-02,-0.5725768
ENSG00000145029,NICN1,-1.02E-01,-1.61E-01,-4.43E-02,4.586,-3.46,5.79E-04,2.83E-02,-0.5105664
ENSG00000156504,FAM122B,8.79E-02,3.80E-02,1.38E-01,5.178,3.46,5.80E-04,2.83E-02,-0.5435634
ENSG00000160678,S100A1,-1.65E-01,-2.59E-01,-7.12E-02,4.101,-3.457,5.86E-04,2.86E-02,-0.4947116
ENSG00000121989,ACVR2A,7.55E-02,3.26E-02,1.18E-01,6.069,3.455,5.91E-04,2.87E-02,-0.5861679
ENSG00000145907,G3BP1,6.36E-02,2.74E-02,9.97E-02,6.819,3.455,5.92E-04,2.87E-02,-0.5941755
ENSG00000078177,N4BP2,1.10E-01,4.71E-02,1.72E-01,5.391,3.448,6.07E-04,2.93E-02,-0.5928027
ENSG00000159176,CSRP1,-1.20E-01,-1.88E-01,-5.16E-02,8.324,-3.446,6.09E-04,2.93E-02,-0.6143042
ENSG00000251432,.,1.55E-01,6.67E-02,2.44E-01,1.03,3.446,6.10E-04,2.93E-02,-0.4635205
ENSG00000133460,SLC2A11,-9.55E-02,-1.50E-01,-4.10E-02,4.148,-3.446,6.11E-04,2.93E-02,-0.5348816
ENSG00000138041,SMEK2,6.02E-02,2.59E-02,9.44E-02,7.044,3.445,6.13E-04,2.93E-02,-0.6265122
ENSG00000163793,DNAJC5G,-2.42E-01,-3.80E-01,-1.04E-01,2.46E-01,-3.444,6.15E-04,2.93E-02,-0.525664
ENSG00000111605,CPSF6,8.39E-02,3.60E-02,1.32E-01,7.728,3.443,6.18E-04,2.93E-02,-0.6303681
ENSG00000006016,CRLF1,-1.69E-01,-2.65E-01,-7.25E-02,3.736,-3.439,6.25E-04,2.95E-02,-0.5311698
ENSG00000187109,NAP1L1,8.08E-02,3.47E-02,1.27E-01,8.452,3.439,6.26E-04,2.95E-02,-0.6378381
ENSG00000180592,SKIDA1,-9.07E-02,-1.43E-01,-3.89E-02,3.058,-3.439,6.27E-04,2.95E-02,-0.4976435
ENSG00000177352,CCDC71,-1.08E-01,-1.69E-01,-4.61E-02,2.625,-3.435,6.36E-04,2.97E-02,-0.4918453
ENSG00000165716,FAM69B,-1.17E-01,-1.84E-01,-5.01E-02,4.134,-3.434,6.37E-04,2.97E-02,-0.5698239
ENSG00000013563,DNASE1L1,-1.09E-01,-1.71E-01,-4.65E-02,3.214,-3.434,6.38E-04,2.97E-02,-0.51978
ENSG00000141699,FAM134C,-6.72E-02,-1.06E-01,-2.88E-02,5.77,-3.434,6.39E-04,2.97E-02,-0.6470453
ENSG00000185339,TCN2,-1.57E-01,-2.47E-01,-6.72E-02,2.567,-3.432,6.43E-04,2.98E-02,-0.5003805
ENSG00000112996,MRPS30,9.13E-02,3.90E-02,1.44E-01,7.526,3.431,6.44E-04,2.98E-02,-0.6685181
ENSG00000109794,FAM149A,-1.05E-01,-1.65E-01,-4.46E-02,4.517,-3.426,6.56E-04,3.03E-02,-0.6190518
ENSG00000179542,SLITRK4,1.21E-01,5.15E-02,1.90E-01,7.496,3.425,6.59E-04,3.03E-02,-0.6889002
ENSG00000171612,SLC25A33,-1.25E-01,-1.97E-01,-5.34E-02,4.66,-3.425,6.60E-04,3.03E-02,-0.6324992
ENSG00000196323,ZBTB44,8.20E-02,3.49E-02,1.29E-01,7.735,3.424,6.62E-04,3.03E-02,-0.6924411
ENSG00000108774,RAB5C,-9.00E-02,-1.42E-01,-3.84E-02,4.945,-3.422,6.66E-04,3.04E-02,-0.6550386
ENSG00000131650,KREMEN2,-2.04E-01,-3.22E-01,-8.71E-02,1.15E-01,-3.421,6.68E-04,3.04E-02,-0.6025761
ENSG00000160345,C9orf116,-1.26E-01,-1.98E-01,-5.37E-02,1.454,-3.42,6.71E-04,3.04E-02,-0.5289722
ENSG00000100033,PRODH,-1.94E-01,-3.05E-01,-8.25E-02,5.374,-3.42,6.71E-04,3.04E-02,-0.6778707
ENSG00000151923,TIAL1,8.18E-02,3.48E-02,1.29E-01,5.598,3.418,6.76E-04,3.05E-02,-0.6967902
ENSG00000174365,SNHG11,-1.04E-01,-1.64E-01,-4.42E-02,2.513,-3.417,6.78E-04,3.05E-02,-0.5444591
ENSG00000171798,KNDC1,-1.29E-01,-2.04E-01,-5.49E-02,6.392,-3.413,6.88E-04,3.08E-02,-0.7267053
ENSG00000162576,MXRA8,-1.63E-01,-2.57E-01,-6.93E-02,2.777,-3.412,6.90E-04,3.08E-02,-0.5682249
ENSG00000164463,CREBRF,7.21E-02,3.06E-02,1.14E-01,7.477,3.412,6.91E-04,3.08E-02,-0.7329143
ENSG00000261292,.,1.59E-01,6.72E-02,2.50E-01,4.067,3.407,7.03E-04,3.13E-02,-0.6584647
ENSG00000205643,CDPF1,-1.22E-01,-1.93E-01,-5.17E-02,2.066,-3.405,7.07E-04,3.14E-02,-0.5715122
ENSG00000075618,FSCN1,-1.15E-01,-1.82E-01,-4.88E-02,6.249,-3.403,7.12E-04,3.15E-02,-0.7544721
ENSG00000101940,WDR13,-9.20E-02,-1.45E-01,-3.89E-02,6.075,-3.403,7.14E-04,3.15E-02,-0.7524177
ENSG00000185736,ADARB2,-1.51E-01,-2.38E-01,-6.37E-02,3.735,-3.4,7.20E-04,3.17E-02,-0.6554396
ENSG00000131771,PPP1R1B,-1.40E-01,-2.20E-01,-5.90E-02,6.038,-3.399,7.22E-04,3.17E-02,-0.7657998
ENSG00000105393,BABAM1,-9.15E-02,-1.45E-01,-3.86E-02,5.321,-3.394,7.38E-04,3.23E-02,-0.7593594
ENSG00000151353,TMEM18,-8.59E-02,-1.36E-01,-3.61E-02,4.549,-3.39,7.46E-04,3.25E-02,-0.737272
ENSG00000160703,NLRX1,-1.17E-01,-1.85E-01,-4.93E-02,2.564,-3.389,7.49E-04,3.25E-02,-0.6318145
ENSG00000177030,DEAF1,-1.06E-01,-1.67E-01,-4.45E-02,5.583,-3.389,7.50E-04,3.25E-02,-0.787221
ENSG00000133027,PEMT,-1.16E-01,-1.83E-01,-4.88E-02,2.426,-3.389,7.50E-04,3.25E-02,-0.6297451
ENSG00000205929,C21orf62,2.03E-01,8.51E-02,3.21E-01,1.301,3.384,7.63E-04,3.29E-02,-0.64021
ENSG00000169018,FEM1B,7.87E-02,3.30E-02,1.24E-01,8.368,3.384,7.63E-04,3.29E-02,-0.8165703
ENSG00000101363,MANBAL,-8.11E-02,-1.28E-01,-3.40E-02,4.499,-3.382,7.68E-04,3.29E-02,-0.7593288
ENSG00000153187,HNRNPU,7.39E-02,3.10E-02,1.17E-01,8.306,3.382,7.68E-04,3.29E-02,-0.8231094
ENSG00000119953,SMNDC1,9.09E-02,3.81E-02,1.44E-01,4.326,3.381,7.71E-04,3.29E-02,-0.757309
ENSG00000257176,.,1.35E-01,5.66E-02,2.13E-01,1.364,3.381,7.72E-04,3.29E-02,-0.6494413
ENSG00000165915,SLC39A13,-1.07E-01,-1.69E-01,-4.47E-02,3.931,-3.381,7.72E-04,3.29E-02,-0.7298048
ENSG00000011201,KAL1,9.87E-02,4.14E-02,1.56E-01,5.777,3.379,7.76E-04,3.29E-02,-0.8256167
ENSG00000177465,ACOT4,-1.16E-01,-1.84E-01,-4.87E-02,2.497,-3.377,7.81E-04,3.30E-02,-0.6667141
ENSG00000113068,PFDN1,-6.82E-02,-1.08E-01,-2.85E-02,5.41,-3.377,7.82E-04,3.30E-02,-0.8193196
ENSG00000153561,RMND5A,7.42E-02,3.10E-02,1.17E-01,7.854,3.375,7.88E-04,3.32E-02,-0.8490956
ENSG00000160408,ST6GALNAC6,-9.30E-02,-1.47E-01,-3.89E-02,6.836,-3.374,7.90E-04,3.32E-02,-0.8524288
ENSG00000173805,HAP1,1.97E-01,8.23E-02,3.12E-01,3.005,3.373,7.92E-04,3.32E-02,-0.6995416
ENSG00000126882,FAM78A,-1.15E-01,-1.82E-01,-4.80E-02,3.032,-3.372,7.98E-04,3.33E-02,-0.7060281
ENSG00000154930,ACSS1,-1.91E-01,-3.02E-01,-7.96E-02,5.123,-3.371,8.01E-04,3.34E-02,-0.8264431
ENSG00000183780,SLC35F3,-8.47E-02,-1.34E-01,-3.53E-02,4.801,-3.369,8.04E-04,3.34E-02,-0.8176845
ENSG00000140798,ABCC12,-1.64E-01,-2.59E-01,-6.83E-02,2.218,-3.367,8.09E-04,3.36E-02,-0.6912734
ENSG00000198265,HELZ,6.92E-02,2.88E-02,1.10E-01,7.369,3.365,8.18E-04,3.38E-02,-0.8850321
ENSG00000177225,PDDC1,-1.10E-01,-1.74E-01,-4.56E-02,5.664,-3.363,8.24E-04,3.38E-02,-0.8718569
ENSG00000128581,RABL5,-7.38E-02,-1.17E-01,-3.07E-02,4.136,-3.362,8.25E-04,3.38E-02,-0.8019163
ENSG00000128973,CLN6,-9.47E-02,-1.50E-01,-3.94E-02,3.208,-3.362,8.25E-04,3.38E-02,-0.745261
ENSG00000042445,RETSAT,-9.61E-02,-1.52E-01,-3.99E-02,5.304,-3.362,8.26E-04,3.38E-02,-0.863225
ENSG00000163704,PRRT3,-1.22E-01,-1.93E-01,-5.07E-02,4.292,-3.361,8.29E-04,3.39E-02,-0.8148351
ENSG00000172053,QARS,-8.24E-02,-1.31E-01,-3.42E-02,4.671,-3.359,8.35E-04,3.40E-02,-0.8430385
ENSG00000112245,PTP4A1,1.15E-01,4.79E-02,1.83E-01,6.877,3.359,8.36E-04,3.40E-02,-0.9048949
ENSG00000144120,TMEM177,-9.12E-02,-1.45E-01,-3.78E-02,2.74,-3.358,8.38E-04,3.40E-02,-0.7370727
ENSG00000175445,LPL,1.86E-01,7.71E-02,2.94E-01,5,3.357,8.40E-04,3.40E-02,-0.8665446
ENSG00000086159,AQP6,-1.94E-01,-3.08E-01,-8.06E-02,4.20E-01,-3.356,8.42E-04,3.40E-02,-0.7617445
ENSG00000144426,NBEAL1,8.45E-02,3.50E-02,1.34E-01,5.893,3.353,8.51E-04,3.43E-02,-0.9124887
ENSG00000189238,.,-2.07E-01,-3.29E-01,-8.59E-02,8.11E-01,-3.353,8.53E-04,3.43E-02,-0.7463705
