Supplementary data file  3: Differentially expressed genes,,,,,,,,,
Ensembl Gene ID,Gene Symbol,logFC,"95% Confidence Interval, lower bound","95% Confidence Interval,upper bound",Average Expression (pre-adjusted logCPM),t statistic,p-value,FDR estimate,B coefficient
ENSG00000104327,CALB1,2.12E-01,1.17E-01,3.06E-01,5.241,4.406,1.26E-05,4.39E-03,2.9546807
ENSG00000196557,CACNA1H,-2.34E-01,-3.38E-01,-1.29E-01,2.753,-4.397,1.31E-05,4.48E-03,2.9319664
ENSG00000260337,.,3.44E-01,1.90E-01,4.98E-01,7.70E-01,4.388,1.36E-05,4.52E-03,2.6928038
ENSG00000167434,CA4,-1.97E-01,-2.85E-01,-1.09E-01,2.974,-4.385,1.38E-05,4.52E-03,2.8961841
ENSG00000072954,TMEM38A,-1.28E-01,-1.85E-01,-7.03E-02,4.977,-4.378,1.42E-05,4.53E-03,2.846735
ENSG00000171448,ZBTB26,1.33E-01,7.33E-02,1.93E-01,3.658,4.376,1.43E-05,4.53E-03,2.8632104
ENSG00000124203,ZNF831,1.51E-01,8.27E-02,2.18E-01,3.859,4.355,1.58E-05,4.89E-03,2.7740889
ENSG00000110172,CHORDC1,2.00E-01,1.10E-01,2.91E-01,6.649,4.351,1.61E-05,4.89E-03,2.7065322
ENSG00000141744,PNMT,-2.41E-01,-3.50E-01,-1.31E-01,1.271,-4.331,1.75E-05,5.22E-03,2.5558905
ENSG00000155966,AFF2,1.16E-01,6.33E-02,1.69E-01,5.72,4.311,1.92E-05,5.62E-03,2.5531794
ENSG00000105711,SCN1B,-1.70E-01,-2.48E-01,-9.18E-02,6.063,-4.279,2.19E-05,6.32E-03,2.4263126
ENSG00000114933,INO80D,1.11E-01,5.98E-02,1.62E-01,6.353,4.275,2.24E-05,6.33E-03,2.4020581
ENSG00000247317,.,-1.29E-01,-1.89E-01,-6.95E-02,2.239,-4.247,2.52E-05,7.02E-03,2.3282078
ENSG00000163602,RYBP,9.97E-02,5.35E-02,1.46E-01,6.259,4.24,2.61E-05,7.14E-03,2.2616317
ENSG00000166947,EPB42,-1.43E-01,-2.10E-01,-7.68E-02,1.829,-4.234,2.67E-05,7.20E-03,2.2477246
ENSG00000009694,TENM1,1.08E-01,5.75E-02,1.58E-01,5.828,4.224,2.79E-05,7.40E-03,2.2036896
ENSG00000002330,BAD,-1.45E-01,-2.13E-01,-7.75E-02,5.285,-4.212,2.93E-05,7.65E-03,2.173258
ENSG00000168566,SNRNP48,1.24E-01,6.60E-02,1.82E-01,4.343,4.202,3.07E-05,7.73E-03,2.1551207
ENSG00000140403,DNAJA4,1.63E-01,8.70E-02,2.40E-01,6.365,4.201,3.08E-05,7.73E-03,2.1073522
ENSG00000106080,FKBP14,1.02E-01,5.45E-02,1.50E-01,4.27,4.199,3.11E-05,7.73E-03,2.146518
ENSG00000172458,IL17D,-1.18E-01,-1.74E-01,-6.29E-02,5.584,-4.194,3.17E-05,7.77E-03,2.0928818
ENSG00000171159,C9orf16,-1.49E-01,-2.19E-01,-7.93E-02,5.091,-4.187,3.27E-05,7.78E-03,2.0791136
ENSG00000136002,ARHGEF4,-1.15E-01,-1.69E-01,-6.11E-02,7.001,-4.185,3.30E-05,7.78E-03,2.0418666
ENSG00000138623,SEMA7A,-1.32E-01,-1.94E-01,-7.01E-02,5.517,-4.184,3.31E-05,7.78E-03,2.0546398
ENSG00000119314,PTBP3,9.08E-02,4.80E-02,1.34E-01,6.04,4.166,3.57E-05,8.06E-03,1.9731012
ENSG00000185105,MYADML2,-2.34E-01,-3.44E-01,-1.24E-01,1.725,-4.165,3.59E-05,8.06E-03,1.9850268
ENSG00000118579,MED28,6.97E-02,3.68E-02,1.03E-01,5.558,4.164,3.60E-05,8.06E-03,1.9754288
ENSG00000136986,DERL1,6.34E-02,3.34E-02,9.33E-02,5.202,4.159,3.69E-05,8.06E-03,1.9619273
ENSG00000260523,.,1.87E-01,9.85E-02,2.75E-01,9.92E-01,4.156,3.72E-05,8.06E-03,1.8724696
ENSG00000212673,.,2.00E-01,1.05E-01,2.94E-01,4.59E-01,4.156,3.73E-05,8.06E-03,1.7864315
ENSG00000183808,RBM12B,1.13E-01,5.92E-02,1.66E-01,5.576,4.142,3.96E-05,8.39E-03,1.8862717
ENSG00000186297,GABRA5,1.42E-01,7.45E-02,2.09E-01,5.925,4.14,3.99E-05,8.39E-03,1.8758998
ENSG00000173258,ZNF483,1.15E-01,6.02E-02,1.69E-01,8.965,4.138,4.03E-05,8.39E-03,1.8662488
ENSG00000143493,INTS7,1.01E-01,5.27E-02,1.48E-01,4.242,4.132,4.13E-05,8.47E-03,1.8885151
ENSG00000180440,SERTM1,1.87E-01,9.77E-02,2.75E-01,4.899,4.125,4.25E-05,8.62E-03,1.8436088
ENSG00000130511,SSBP4,-1.79E-01,-2.64E-01,-9.37E-02,4.896,-4.122,4.31E-05,8.63E-03,1.8327069
ENSG00000260081,.,-2.30E-01,-3.40E-01,-1.20E-01,2.29E-01,-4.11,4.53E-05,8.97E-03,1.5927235
ENSG00000019991,HGF,2.82E-01,1.47E-01,4.16E-01,4.423,4.103,4.66E-05,9.10E-03,1.7704307
ENSG00000166128,RAB8B,1.08E-01,5.64E-02,1.60E-01,6.404,4.099,4.75E-05,9.10E-03,1.7084929
ENSG00000111404,RERGL,-3.82E-01,-5.64E-01,-1.99E-01,1.22,-4.098,4.77E-05,9.10E-03,1.7078568
ENSG00000100003,SEC14L2,-1.25E-01,-1.86E-01,-6.52E-02,5.06,-4.095,4.83E-05,9.10E-03,1.7209279
ENSG00000113805,CNTN3,1.30E-01,6.76E-02,1.92E-01,5.913,4.093,4.88E-05,9.10E-03,1.6893596
ENSG00000181104,F2R,1.69E-01,8.78E-02,2.50E-01,1.981,4.086,5.00E-05,9.22E-03,1.7137642
ENSG00000169955,ZNF747,-8.44E-02,-1.25E-01,-4.38E-02,3.517,-4.084,5.05E-05,9.22E-03,1.7270059
ENSG00000173950,XXYLT1,-9.97E-02,-1.48E-01,-5.17E-02,3.05,-4.08,5.14E-05,9.28E-03,1.7173984
ENSG00000090060,PAPOLA,9.83E-02,5.10E-02,1.46E-01,7.431,4.077,5.21E-05,9.30E-03,1.6226583
ENSG00000164164,OTUD4,1.12E-01,5.79E-02,1.66E-01,6.017,4.072,5.32E-05,9.40E-03,1.6070754
ENSG00000163815,CLEC3B,-3.38E-01,-5.01E-01,-1.75E-01,1.685,-4.064,5.50E-05,9.44E-03,1.6166063
ENSG00000099785,02-Mar,-1.13E-01,-1.67E-01,-5.81E-02,5.658,-4.064,5.51E-05,9.44E-03,1.585513
ENSG00000179331,RAB39A,1.73E-01,8.94E-02,2.57E-01,2.926,4.063,5.53E-05,9.44E-03,1.6529657
ENSG00000203706,SERTAD4-AS1,-2.22E-01,-3.30E-01,-1.15E-01,5.10E-01,-4.06,5.58E-05,9.44E-03,1.4674398
ENSG00000242265,PEG10,1.52E-01,7.85E-02,2.26E-01,7.795,4.055,5.71E-05,9.44E-03,1.539979
ENSG00000131730,CKMT2,-1.55E-01,-2.30E-01,-7.98E-02,2.338,-4.048,5.88E-05,9.44E-03,1.5881658
ENSG00000120833,SOCS2,-1.07E-01,-1.60E-01,-5.53E-02,3.29,-4.047,5.90E-05,9.44E-03,1.5919838
ENSG00000138767,CNOT6L,1.06E-01,5.45E-02,1.58E-01,6.41,4.045,5.93E-05,9.44E-03,1.5034972
ENSG00000162302,RPS6KA4,-1.38E-01,-2.05E-01,-7.09E-02,4.614,-4.044,5.97E-05,9.44E-03,1.5435572
ENSG00000259834,.,1.63E-01,8.37E-02,2.42E-01,4.617,4.044,5.98E-05,9.44E-03,1.5377009
ENSG00000117682,DHDDS,-7.56E-02,-1.12E-01,-3.89E-02,4.397,-4.044,5.98E-05,9.44E-03,1.5478939
ENSG00000149054,ZNF215,1.39E-01,7.09E-02,2.06E-01,2.106,4.027,6.40E-05,9.94E-03,1.5054531
ENSG00000173273,TNKS,8.86E-02,4.54E-02,1.32E-01,7.447,4.027,6.41E-05,9.94E-03,1.4313236
ENSG00000129317,PUS7L,1.03E-01,5.28E-02,1.54E-01,5.596,4.018,6.64E-05,1.02E-02,1.4122408
ENSG00000113083,LOX,1.56E-01,7.98E-02,2.32E-01,2.503,4.017,6.69E-05,1.02E-02,1.4803186
ENSG00000186193,SAPCD2,-1.97E-01,-2.93E-01,-1.01E-01,2.54,-4.015,6.74E-05,1.02E-02,1.4733417
ENSG00000196932,TMEM26,2.21E-01,1.13E-01,3.30E-01,7.54E-01,4.013,6.80E-05,1.02E-02,1.3362394
ENSG00000025796,SEC63,9.18E-02,4.68E-02,1.37E-01,6.149,4.006,6.98E-05,1.03E-02,1.3570033
ENSG00000113300,CNOT6,9.79E-02,4.98E-02,1.46E-01,5.666,3.998,7.23E-05,1.06E-02,1.3321792
ENSG00000171451,DSEL,1.08E-01,5.47E-02,1.61E-01,5.596,3.997,7.26E-05,1.06E-02,1.3304381
ENSG00000105251,SHD,-2.08E-01,-3.10E-01,-1.05E-01,2.058,-3.985,7.61E-05,1.09E-02,1.3514887
ENSG00000186063,AIDA,9.52E-02,4.83E-02,1.42E-01,6.157,3.984,7.66E-05,1.09E-02,1.272066
ENSG00000163637,PRICKLE2,9.60E-02,4.86E-02,1.43E-01,6.95,3.978,7.84E-05,1.11E-02,1.2471698
ENSG00000178149,DALRD3,-1.08E-01,-1.61E-01,-5.45E-02,3.622,-3.971,8.06E-05,1.13E-02,1.3045778
