hill2019,davies2018,sniekers2017,savage2018,hatoum2022
CAMTA1,PTPRF,,GALNT3,STAB1
MFSD3,ZSWIM6,,TTC21B,EFTUD1
FGF8,SORT1,,ERICH2,COL16A1
TEAD1,KANSL1,,GAD1,DBN1
HIST1H2AK,USP4,,ZNF385B,MSL2
MUL1,NPIPB8,,ANKRD44,SKA2
PHACTR3,CYP2D6,,SF3B1,NEK4
TCF20,TEAD1,,RFTN2,CACNA1E
HIST1H2BN,RBL2,,MARS2,RNF43
POU6F2,RECQL4,,PLCL1,TENM4
SHANK3,QRICH1,,SATB2,GRIN2A
RBFOX1,MUSTN1,,C2orf57,DPP4
UBE2E1,HIST1H2BL,,COPS7B,ATXN7L2
REEP3,STH,,PLCL2,BRWD1
STAB1,C10orf76,,UBE2E1,RTN1
NPIPB8,FOXO3,,NKIRAS1,HCRTR1
GRK6,AUTS2,,RPL15,SYPL2
HIST1H2BC,FAM43B,,NR1D2,POU6F2
FBXL15,SNX29,,THRB,CELSR3
HIST1H2AC,HIST1H2AI,,ARPP21,FAM160A1
ATXN7L2,PRKD1,,TMA7,CLN3
ARTN,PLEKHM1,,ATRIP,IK
CACNA1E,HIST1H3H,,TREX1,IGSF9B
HIST1H3B,CYB561D1,,PFKFB4,IP6K2
CYB561D1,ARHGAP27,,COL7A1,FSCN3
NT5DC2,UBE2E1,,TMEM89,CACNA1I
RAB11FIP5,RAD51C,,SLC26A6,PKD1L3
HPS6,WNT3,,CELSR3,ZMAT2
RAB11A,MYBPHL,,NCKIPSD,ZNF821
PDE4D,SPPL2C,,IP6K2,NR1D2
CRHR1,MUL1,,PRKAR2A,SPEG
HIST1H2AI,MGEA5,,SLC25A20,KDM4A
CENPW,SPNS1,,ARIH2,DHRS11
HIST1H2BL,HIST1H2BM,,P4HTM,JMJD1C
CSRNP3,NSF,,WDR6,GATAD2B
AUTS2,MFSD3,,DALRD3,NCKIPSD
KANSL1,RTN1,,IMPDH2,GPD2
NRBF2,HIST1H2AJ,,QRICH1,CDH4
EIF3C,GPT,,QARS,PPA2
PSMA5,RAI1,,USP19,SYNGR1
CDC14B,CPN1,,LAMB2,PCCB
SORT1,LONRF2,,CCDC71,PRR7
RHEBL1,NKIRAS1,,KLHDC8B,CEP57
EFNA5,ITIH3,,C3orf84,SLC39A8
HIST1H2AB,KCNIP2,,CCDC36,KLC1
HIST1H3H,NFATC2IP,,C3orf62,GNAT1
HIST1H4L,HIST1H4J,,USP4,SPNS1
HIST1H4K,C3orf62,,GPX1,RNF182
HIST1H2AL,HIST1H2AL,,RHOA,MACROD2
IPO13,PET112,,TCTA,HARS2
PFDN1,HIST1H4K,,AMT,ARHGAP15
TNRC6A,LAT,,NICN1,UBE2E1
HIST1H1B,SEMA3F,,DAG1,WNT4
HIST1H3I,HIST1H4L,,BSN,CRAT
THRB,PFDN1,,APEH,PTCH1
NPIPB9,HIST1H1B,,MST1,EXT1
WNT3,SYPL2,,RNF123,SREBF2
APBA1,PPP1R16A,,AMIGO3,GGNBP2
CD19,ZNF322,,GMPPB,ZMIZ2
PTPRF,HIST1H3I,,IP6K1,AFF3
Sep-04,FOXH1,,CDHR4,CRTC2
ARHGAP27,LRRC14,,FAM212A,GOSR1
SPNS1,NCKIPSD,,UBA7,TRIOBP
ELOVL7,RNF4,,TRAIP,TSNARE1
RILPL2,ARL17B,,CAMKV,SLC39A1
HIST1H4A,CSRNP3,,MST1R,SAXO2
MACROD2,SRPK2,,MON1A,PPP2R4
FAM120A,SCAND1,,RBM6,RBM39
LAT,TINAGL1,,RBM5,RECQL4
PHF2,DNPH1,,SEMA3F,ATP6V0B
PRR7,THRB,,GNAT1,ZNF800
BTN2A2,IP6K2,,GNAI2,PLA2G15
HIST1H2BM,DPP4,,IFRD2,ALMS1
SYPL2,PGPEP1,,HYAL3,WBP2NL
DHH,BTN2A2,,NAT6,DERA
SPPL2C,TNRC6A,,HYAL1,PPP2R3A
