hill2019,davies2018,sniekers2017,savage2018,hatoum2022
,ZNF335,,TSPAN31,
,TBR1,,CDK4,
,PPIP5K1,,Mar-09,
,STAG1,,CYP27B1,
,THBD,,METTL1,
,EPHA5,,METTL21B,
,DCP1A,,TSFM,
,CDH7,,AVIL,
,XPO4,,CTDSP2,
,TRIM40,,XRCC6BP1,
,HEXIM2,,SYT1,
,TPRKB,,C12orf74,
,EFNA5,,PLEKHG7,
,LARGE,,EEA1,
,ZDHHC5,,UBE2N,
,WDR76,,VPS37B,
,C9orf64,,ABCB9,
,CKMT1A,,OGFOD2,
,HMGN1,,ARL6IP4,
,NDST3,,PITPNM2,
,FANK1,,MPHOSPH9,
,BTBD18,,C12orf65,
,DCAF16,,CDK2AP1,
,OR5V1,,SBNO1,
,CRIM1,,SETD8,
,C2orf47,,SNRNP35,
,RSPO1,,RILPL1,
,VWA5A,,DNAH10,
,DRG2,,PCDH17,
,RPP21,,MBNL2,
,PTPLB,,NOVA1,
,TUBAL3,,PRKD1,
,SCAF11,,AKAP6,
,GMPPA,,NKX2-8,
,CHST10,,EXD2,
,MAST4,,DCAF4,
,BTBD1,,ZFYVE1,
,IKZF4,,RBM25,
,TBC1D29,,PSEN1,
,ERGIC3,,PAPLN,
,DCAF11,,EIF5,
,ABCC2,,MARK3,
,RAB13,,CKB,
,VAMP2,,TRMT61A,
,IQCK,,BAG5,
,GPR26,,KLC1,
,KCNJ6,,APOPT1,
,SLC22A7,,XRCC3,
,B4GALT2,,ZFYVE21,
,GPD2,,C15orf52,
,TOM1L2,,PHGR1,
,CRIP3,,DISP2,
,TRAM1,,KNSTRN,
,HDGFRP3,,IVD,
,RBMS1,,BAHD1,
,HIST1H4B,,C15orf57,
,ATF4,,RMDN3,
,DBN1,,GCHFR,
,ZKSCAN3,,ZFYVE19,
,KDM4C,,DLL4,
,TMEM89,,INO80,
,ZBTB37,,CHP1,
,RILPL2,,RTF1,
,AP3B2,,GLDN,
,USP34,,DMXL2,
,CTNNA2,,SCG3,
,ATP6AP1L,,LYSMD2,
,HHLA2,,TMOD2,
,RPRML,,TMOD3,
,BCL2L12,,GNB5,
,CASC5,,IGDCC4,
,ZNF777,,DPP8,
,SLC26A1,,PTPLAD1,
,GBE1,,DENND4A,
,KLC1,,RAB11A,
,TTC39A,,MEX3B,
,FNBP4,,EFTUD1,
,RMDN3,,FAM154B,
,NEDD8-MDP1,,GOLGA6L10,
,HIST1H2BD,,GOLGA6L9,
,PRR7,,RPS17,
,LARP7,,GOLGA6L19,
,HLA-B,,CPEB1,
,GRM3,,AP3B2,
,PABPN1,,WHAMM,
,TULP4,,NTRK3,
,ARL11,,RBFOX1,
,CDH4,,GRIN2A,
,RIMS2,,SNX29,
,REEP3,,SHISA9,
,FLOT2,,TNRC6A,
,RPS6KB1,,SLC5A11,
,CLIC1,,SBK1,
,FAM160A1,,NPIPB6,
,NTNG2,,EIF3CL,
,L3MBTL2,,NPIPB7,
,ZMAT2,,CLN3,
,COL7A1,,APOBR,
,NEDD8,,IL27,
,APOPT1,,NUPR1,
,HIST1H1A,,CCDC101,
,ERAP2,,SULT1A2,
,MED19,,SULT1A1,
,AURKB,,NPIPB8,
,UQCRC1,,EIF3C,
,OR8B3,,NPIPB9,
,USP10,,ATXN2L,
,ZBTB12,,TUFM,
,ACBD4,,SH2B1,
,CRAT,,ATP2A1,
,VEGFA,,RABEP2,
,HARS2,,CD19,
,IGSF9B,,NFATC2IP,
,GPR52,,SPNS1,
,CENPM,,LAT,
,MYLK,,SALL1,
,FADD,,RBL2,
,TRIM38,,AKTIP,
,C6orf15,,CDH8,
,LRPPRC,,HSD11B2,
,EPHB1,,GFOD2,
,ZNHIT3,,TSNAXIP1,
,VPS41,,CTRL,
,LACTB2,,LCAT,
,MAP9,,SLC12A4,
,ZSCAN12,,DPEP3,
,AGBL2,,DPEP2,
,KCNK3,,DUS2,
,SMIM23,,DDX28,
,RPS19BP1,,NFATC3,
,MOB4,,ESRP2,
,PRR15L,,PLA2G15,
,CPA6,,SLC7A6,
,RALA,,SLC7A6OS,
,SOBP,,PRMT7,
,CKAP4,,SMPD3,
,GNL2,,MTSS1L,
,BMPR2,,VAC14,
,C2orf78,,ZNF23,
,THPO,,ZNF19,
,LHX8,,TAT,
,CHMP4A,,MARVELD3,
,MCRS1,,PHLPP2,
,WDR66,,AP1G1,
,HIST1H2AC,,ATXN1L,
,DENND4A,,IST1,
,PKD2L1,,ZNF821,
,PRPF40B,,HP,
,CALU,,HPR,
,TMEM173,,DHX38,
,PPP2R3A,,PMFBP1,
,NME9,,CCL3L3,
,DCP2,,CCL3L1,
,GPM6A,,CCL4L2,
,C1QTNF4,,ZNHIT3,
,KCNH7,,MYO19,
,CCDC14,,PIGW,
,HARS,,GGNBP2,
,CD83,,DHRS11,
,VARS,,MRM1,
,C20orf201,,FZD2,
,TUBD1,,GJC1,
,IRF3,,EFTUD2,
,SLC4A10,,CCDC103,
,XKR9,,GFAP,
,PPP1CC,,ARHGAP27,
,TCP11L2,,CRHR1,
,HYI,,MAPT,
,OPN1SW,,KANSL1,
,,,ARL17B,
,,,LRRC37A,
,,,LRRC37A2,
,,,ARL17A,
,,,NSF,
,,,WNT3,
,,,ATP5G1,
,,,UBE2Z,
,,,SNF8,
,,,IGF2BP1,
,,,MPO,
,,,BZRAP1,
,,,SUPT4H1,
,,,RNF43,
,,,HSF5,
,,,MTMR4,
,,,Sep-04,
,,,C17orf47,
,,,TEX14,
,,,RAD51C,
,,,PPM1E,
,,,TRIM37,
,,,SKA2,
,,,PRR11,
,,,SMG8,
,,,DCC,
,,,MPND,
,,,SH3GL1,
,,,CHAF1A,
,,,UBXN6,
,,,HDGFRP2,
,,,MAN2B1,
,,,HOOK2,
,,,GCDH,
,,,SYCE2,
,,,NFIX,
,,,IL12RB1,
,,,MAST3,
,,,PIK3R2,
,,,MPV17L2,
,,,RAB3A,
,,,PDE4C,
,,,KIAA1683,
,,,TSHZ3,
,,,PAPL,
,,,PAK4,
,,,ARHGAP35,
,,,NPAS1,
,,,TMEM160,
,,,ZC3H4,
,,,SAE1,
,,,BBC3,
,,,ZNF544,
,,,A1BG,
,,,RPS5,
,,,ZNF584,
,,,ZNF132,
,,,ZNF324B,
,,,ZNF324,
,,,ZNF446,
,,,SLC27A5,
,,,ZBTB45,
,,,TRIM28,
,,,CHMP2A,
,,,UBE2M,
,,,MZF1,
,,,EDEM2,
,,,UQCC1,
,,,CEP250,
,,,ERGIC3,
,,,SPAG4,
,,,CPNE1,
,,,RBM12,
,,,NFS1,
,,,ROMO1,
,,,RBM39,
,,,PHF20,
,,,SCAND1,
,,,CNBD2,
,,,EPB41L1,
,,,AAR2,
,,,PREX1,
,,,ARFGEF2,
,,,CSE1L,
,,,STAU1,
,,,DDX27,
,,,ZNFX1,
,,,KCNB1,
,,,PSMG1,
,,,BRWD1,
,,,HMGN1,
,,,WRB,
,,,LCA5L,
,,,SH3BGR,
,,,OSBP2,
,,,MORC2,
,,,SELM,
,,,CDC42EP1,
,,,LGALS2,
,,,GGA1,
,,,SH3BP1,
,,,NOL12,
,,,TRIOBP,
,,,H1F0,
,,,GCAT,
,,,GALR3,
,,,ANKRD54,
,,,MICALL1,
,,,C22orf23,
,,,SUN2,
,,,PDGFB,
,,,RPL3,
,,,SYNGR1,
,,,TAB1,
,,,MGAT3,
,,,MIEF1,
,,,ATF4,
,,,CACNA1I,
,,,ST13,
,,,XPNPEP3,
,,,DNAJB7,
,,,EP300,
,,,L3MBTL2,
,,,CHADL,
,,,RANGAP1,
,,,ZC3H7B,
,,,TEF,
,,,TOB2,
,,,PHF5A,
,,,ACO2,
,,,POLR3H,
,,,CSDC2,
,,,DESI1,
,,,XRCC6,
,,,NHP2L1,
,,,MEI1,
,,,CCDC134,
,,,SREBF2,
,,,SHISA8,
,,,TNFRSF13C,
,,,CENPM,
,,,Sep-03,
,,,WBP2NL,
,,,NAGA,
,,,FAM109B,
,,,SMDT1,
,,,NDUFA6,
,,,CYP2D6,
,,,TCF20,
,,,NFAM1,
