id,label
1,NA
10,lh_17Networks_LH_VisCent_ExStr_6
12,lh_17Networks_LH_VisCent_ExStr_8
14,lh_17Networks_LH_VisCent_ExStr_10
15,lh_17Networks_LH_VisCent_ExStr_11
16,lh_17Networks_LH_VisCent_ExStr_12
17,lh_17Networks_LH_VisCent_ExStr_13
18,lh_17Networks_LH_VisCent_ExStr_14
19,lh_17Networks_LH_VisCent_ExStr_16
20,lh_17Networks_LH_VisCent_ExStr_17
21,lh_17Networks_LH_VisCent_ExStr_19
22,lh_17Networks_LH_VisCent_ExStr_20
23,lh_17Networks_LH_VisCent_ExStr_21
24,lh_17Networks_LH_VisCent_ExStr_22
25,lh_17Networks_LH_VisCent_ExStr_23
57,lh_17Networks_LH_SomMotA_2
59,lh_17Networks_LH_SomMotA_4
60,lh_17Networks_LH_SomMotA_5
61,lh_17Networks_LH_SomMotA_6
63,lh_17Networks_LH_SomMotA_8
65,lh_17Networks_LH_SomMotA_10
66,lh_17Networks_LH_SomMotA_11
68,lh_17Networks_LH_SomMotA_13
70,lh_17Networks_LH_SomMotA_15
71,lh_17Networks_LH_SomMotA_16
72,lh_17Networks_LH_SomMotA_17
74,lh_17Networks_LH_SomMotA_19
75,lh_17Networks_LH_SomMotA_20
76,lh_17Networks_LH_SomMotA_21
78,lh_17Networks_LH_SomMotA_23
81,lh_17Networks_LH_SomMotA_26
82,lh_17Networks_LH_SomMotA_27
83,lh_17Networks_LH_SomMotA_28
84,lh_17Networks_LH_SomMotA_29
86,lh_17Networks_LH_SomMotA_31
87,lh_17Networks_LH_SomMotA_32
88,lh_17Networks_LH_SomMotA_33
89,lh_17Networks_LH_SomMotA_34
90,lh_17Networks_LH_SomMotA_36
95,lh_17Networks_LH_SomMotA_41
96,lh_17Networks_LH_SomMotA_42
97,lh_17Networks_LH_SomMotA_43
98,lh_17Networks_LH_SomMotB_Cent_1
99,lh_17Networks_LH_SomMotB_Cent_2
100,lh_17Networks_LH_SomMotB_Cent_3
101,lh_17Networks_LH_SomMotB_Cent_4
102,lh_17Networks_LH_SomMotB_Cent_5
103,lh_17Networks_LH_SomMotB_Cent_6
104,lh_17Networks_LH_SomMotB_Cent_7
105,lh_17Networks_LH_SomMotB_Cent_8
106,lh_17Networks_LH_SomMotB_Cent_9
107,lh_17Networks_LH_SomMotB_Cent_10
108,lh_17Networks_LH_SomMotB_S2_1
109,lh_17Networks_LH_SomMotB_S2_2
110,lh_17Networks_LH_SomMotB_S2_3
111,lh_17Networks_LH_SomMotB_S2_4
112,lh_17Networks_LH_SomMotB_S2_5
113,lh_17Networks_LH_SomMotB_S2_6
114,lh_17Networks_LH_SomMotB_S2_7
115,lh_17Networks_LH_SomMotB_S2_8
116,lh_17Networks_LH_SomMotB_S2_9
117,lh_17Networks_LH_SomMotB_S2_10
118,lh_17Networks_LH_SomMotB_S2_11
119,lh_17Networks_LH_SomMotB_Ins_1
120,lh_17Networks_LH_SomMotB_Aud_1
