id,label
186,lh_17Networks_LH_DefaultB_PFCv_3
187,lh_17Networks_LH_DefaultB_PFCv_4
188,lh_17Networks_LH_DefaultB_PFCv_5
189,lh_17Networks_LH_DefaultC_IPL_1
196,lh_17Networks_LH_TempPar_1
197,lh_17Networks_LH_TempPar_2
198,lh_17Networks_LH_TempPar_3
199,lh_17Networks_LH_TempPar_4
200,lh_17Networks_LH_TempPar_5
201,lh_17Networks_LH_TempPar_6
1,NA
2,lh_17Networks_LH_VisCent_ExStr_1
3,lh_17Networks_LH_VisCent_ExStr_2
5,lh_17Networks_LH_VisCent_ExStr_4
6,lh_17Networks_LH_VisCent_ExStr_5
8,lh_17Networks_LH_VisCent_Striate_1
12,lh_17Networks_LH_VisCent_ExStr_10
14,lh_17Networks_LH_VisPeri_ExStrInf_1
15,lh_17Networks_LH_VisPeri_ExStrInf_2
16,lh_17Networks_LH_VisPeri_ExStrInf_3
17,lh_17Networks_LH_VisPeri_ExStrInf_4
18,lh_17Networks_LH_VisPeri_ExStrInf_5
19,lh_17Networks_LH_VisPeri_StriCal_1
20,lh_17Networks_LH_VisPeri_StriCal_2
21,lh_17Networks_LH_VisPeri_ExStrSup_1
22,lh_17Networks_LH_VisPeri_ExStrSup_2
23,lh_17Networks_LH_VisPeri_ExStrSup_3
24,lh_17Networks_LH_VisPeri_ExStrSup_4
25,lh_17Networks_LH_VisPeri_ExStrSup_5
26,lh_17Networks_LH_SomMotA_1
31,lh_17Networks_LH_SomMotA_6
32,lh_17Networks_LH_SomMotA_7
33,lh_17Networks_LH_SomMotA_8
39,lh_17Networks_LH_SomMotA_14
40,lh_17Networks_LH_SomMotA_15
62,lh_17Networks_LH_DorsAttnA_TempOcc_2
72,lh_17Networks_LH_DorsAttnA_SPL_6
80,lh_17Networks_LH_DorsAttnB_PostC_7
82,lh_17Networks_LH_DorsAttnB_PostC_9
96,lh_17Networks_LH_SalVentAttnA_ParMed_1
97,lh_17Networks_LH_SalVentAttnA_ParMed_2
98,lh_17Networks_LH_SalVentAttnA_ParMed_3
99,lh_17Networks_LH_SalVentAttnA_FrMed_1
100,lh_17Networks_LH_SalVentAttnA_FrMed_2
101,lh_17Networks_LH_SalVentAttnA_FrMed_3
109,lh_17Networks_LH_SalVentAttnB_PFCmp_1
110,lh_17Networks_LH_LimbicB_OFC_1
112,lh_17Networks_LH_LimbicB_OFC_3
113,lh_17Networks_LH_LimbicB_OFC_4
114,lh_17Networks_LH_LimbicB_OFC_5
115,lh_17Networks_LH_LimbicA_TempPole_1
116,lh_17Networks_LH_LimbicA_TempPole_2
117,lh_17Networks_LH_LimbicA_TempPole_3
119,lh_17Networks_LH_LimbicA_TempPole_5
120,lh_17Networks_LH_LimbicA_TempPole_6
134,lh_17Networks_LH_ContA_Cingm_1
144,lh_17Networks_LH_ContB_PFCmp_1
145,lh_17Networks_LH_ContC_pCun_1
146,lh_17Networks_LH_ContC_pCun_2
147,lh_17Networks_LH_ContC_pCun_3
148,lh_17Networks_LH_ContC_Cingp_1
149,lh_17Networks_LH_ContC_Cingp_2
155,lh_17Networks_LH_DefaultA_pCunPCC_1
156,lh_17Networks_LH_DefaultA_pCunPCC_2
157,lh_17Networks_LH_DefaultA_pCunPCC_3
158,lh_17Networks_LH_DefaultA_pCunPCC_4
159,lh_17Networks_LH_DefaultA_pCunPCC_5
160,lh_17Networks_LH_DefaultA_pCunPCC_6
161,lh_17Networks_LH_DefaultA_pCunPCC_7
162,lh_17Networks_LH_DefaultA_PFCm_1
163,lh_17Networks_LH_DefaultA_PFCm_2
164,lh_17Networks_LH_DefaultA_PFCm_3
165,lh_17Networks_LH_DefaultA_PFCm_4
166,lh_17Networks_LH_DefaultA_PFCm_5
167,lh_17Networks_LH_DefaultA_PFCm_6
176,lh_17Networks_LH_DefaultB_PFCd_1
179,lh_17Networks_LH_DefaultB_PFCd_4
180,lh_17Networks_LH_DefaultB_PFCd_5
181,lh_17Networks_LH_DefaultB_PFCd_6
190,lh_17Networks_LH_DefaultC_Rsp_1
191,lh_17Networks_LH_DefaultC_Rsp_2
192,lh_17Networks_LH_DefaultC_Rsp_3
193,lh_17Networks_LH_DefaultC_PHC_1
194,lh_17Networks_LH_DefaultC_PHC_2
195,lh_17Networks_LH_DefaultC_PHC_3
