genes,MAPPED_genes,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000204022,LIPJ,1.63E-02,-7.20E-02,1.05E-01,4.46E-02,3.62E-01,7.17E-01,9.10E-01,-5.51687
ENSG00000244249,.,-1.59E-02,-1.02E-01,7.05E-02,3.24E-01,-3.62E-01,7.17E-01,9.10E-01,-5.58376
ENSG00000163935,SFMBT1,5.01E-03,-2.22E-02,3.22E-02,4.019,3.62E-01,7.17E-01,9.10E-01,-6.37345
ENSG00000266935,.,-1.45E-02,-9.31E-02,6.41E-02,1.32E-01,-3.62E-01,7.17E-01,9.10E-01,-5.51567
ENSG00000242247,ARFGAP3,4.46E-03,-1.97E-02,2.87E-02,4.974,3.62E-01,7.17E-01,9.10E-01,-6.53865
ENSG00000109519,GRPEL1,4.38E-03,-1.94E-02,2.82E-02,4.959,3.62E-01,7.18E-01,9.10E-01,-6.53397
ENSG00000114654,CCDC48,-1.68E-02,-1.08E-01,7.45E-02,-5.29E-03,-3.62E-01,7.18E-01,9.10E-01,-5.51889
ENSG00000228253,MT-ATP8,2.57E-02,-1.14E-01,1.65E-01,2.508,3.62E-01,7.18E-01,9.10E-01,-6.07901
ENSG00000203950,FAM127B,1.15E-02,-5.09E-02,7.39E-02,1.081,3.62E-01,7.18E-01,9.10E-01,-5.71555
ENSG00000114378,HYAL1,1.09E-02,-4.82E-02,7.00E-02,1.384,3.62E-01,7.18E-01,9.10E-01,-5.77626
ENSG00000178234,GALNT11,3.75E-03,-1.66E-02,2.41E-02,6.722,3.62E-01,7.18E-01,9.10E-01,-6.70612
ENSG00000151572,ANO4,4.97E-03,-2.20E-02,3.20E-02,5.681,3.62E-01,7.18E-01,9.10E-01,-6.62506
ENSG00000229017,.,1.54E-02,-6.83E-02,9.91E-02,1.25E-01,3.62E-01,7.18E-01,9.10E-01,-5.53449
ENSG00000178502,KLHL11,-4.02E-03,-2.59E-02,1.78E-02,5.599,-3.61E-01,7.18E-01,9.11E-01,-6.61491
ENSG00000215218,UBE2QL1,-5.86E-03,-3.78E-02,2.60E-02,5.961,-3.61E-01,7.18E-01,9.11E-01,-6.65086
ENSG00000231025,.,6.70E-03,-2.98E-02,4.32E-02,2.809,3.61E-01,7.18E-01,9.11E-01,-6.10573
ENSG00000214402,LCNL1,-1.73E-02,-1.11E-01,7.68E-02,2.381,-3.61E-01,7.19E-01,9.11E-01,-6.02209
ENSG00000167555,ZNF528,5.70E-03,-2.53E-02,3.67E-02,5.593,3.61E-01,7.19E-01,9.11E-01,-6.61582
ENSG00000143164,DCAF6,3.67E-03,-1.63E-02,2.37E-02,7.634,3.61E-01,7.19E-01,9.11E-01,-6.7555
ENSG00000173905,GOLIM4,-6.00E-03,-3.87E-02,2.67E-02,6.13,-3.61E-01,7.19E-01,9.11E-01,-6.6714
ENSG00000118407,FILIP1,1.10E-02,-4.91E-02,7.12E-02,3.507,3.60E-01,7.19E-01,9.11E-01,-6.27542
ENSG00000171928,FAM18B1,6.48E-03,-2.89E-02,4.18E-02,4.209,3.60E-01,7.19E-01,9.11E-01,-6.41317
ENSG00000120008,WDR11,3.92E-03,-1.74E-02,2.53E-02,6.123,3.60E-01,7.19E-01,9.11E-01,-6.66814
ENSG00000124787,RPP40,-7.89E-03,-5.10E-02,3.52E-02,2.381,-3.60E-01,7.19E-01,9.11E-01,-6.02803
ENSG00000226210,.,2.41E-02,-1.08E-01,1.56E-01,2.171,3.60E-01,7.19E-01,9.11E-01,-5.97249
ENSG00000104946,TBC1D17,5.98E-03,-2.67E-02,3.86E-02,3.738,3.60E-01,7.19E-01,9.11E-01,-6.30967
ENSG00000115275,MOGS,5.19E-03,-2.32E-02,3.36E-02,4.047,3.60E-01,7.19E-01,9.11E-01,-6.3782
ENSG00000142208,AKT1,3.78E-03,-1.69E-02,2.44E-02,5.848,3.60E-01,7.19E-01,9.11E-01,-6.63832
ENSG00000140575,IQGAP1,-6.25E-03,-4.04E-02,2.79E-02,5.961,-3.59E-01,7.20E-01,9.11E-01,-6.65353
ENSG00000216901,.,-3.01E-02,-1.95E-01,1.35E-01,2.21E-01,-3.59E-01,7.20E-01,9.11E-01,-5.55553
ENSG00000159314,ARHGAP27,-7.79E-03,-5.04E-02,3.48E-02,2.795,-3.59E-01,7.20E-01,9.11E-01,-6.10642
ENSG00000198931,APRT,6.97E-03,-3.12E-02,4.51E-02,3.297,3.59E-01,7.20E-01,9.11E-01,-6.23211
ENSG00000100280,AP1B1,3.89E-03,-1.74E-02,2.51E-02,6.326,3.59E-01,7.20E-01,9.11E-01,-6.68079
ENSG00000108830,RND2,8.15E-03,-3.64E-02,5.27E-02,4.522,3.59E-01,7.20E-01,9.11E-01,-6.46597
ENSG00000166770,.,-7.39E-03,-4.78E-02,3.30E-02,4.966,-3.59E-01,7.20E-01,9.11E-01,-6.53526
ENSG00000005339,CREBBP,-4.09E-03,-2.65E-02,1.83E-02,6.166,-3.59E-01,7.20E-01,9.11E-01,-6.6684
ENSG00000142188,TMEM50B,-4.00E-03,-2.59E-02,1.79E-02,6.213,-3.59E-01,7.20E-01,9.11E-01,-6.67546
ENSG00000099246,RAB18,3.20E-03,-1.43E-02,2.07E-02,7.584,3.59E-01,7.20E-01,9.11E-01,-6.7561
ENSG00000122483,CCDC18,6.58E-03,-2.95E-02,4.26E-02,3.049,3.59E-01,7.20E-01,9.11E-01,-6.16818
ENSG00000013275,PSMC4,-4.15E-03,-2.69E-02,1.86E-02,5.505,-3.59E-01,7.20E-01,9.11E-01,-6.59975
ENSG00000225828,.,-1.39E-02,-8.98E-02,6.21E-02,4.10E-01,-3.59E-01,7.20E-01,9.11E-01,-5.58174
ENSG00000110906,KCTD10,4.72E-03,-2.12E-02,3.06E-02,5.101,3.59E-01,7.20E-01,9.11E-01,-6.55699
ENSG00000156873,PHKG2,-4.85E-03,-3.14E-02,2.17E-02,3.941,-3.59E-01,7.20E-01,9.11E-01,-6.35722
ENSG00000037749,MFAP3,4.40E-03,-1.97E-02,2.85E-02,5.741,3.59E-01,7.20E-01,9.11E-01,-6.63422
ENSG00000181029,TRAPPC5,2.34E-02,-1.05E-01,1.52E-01,1.796,3.58E-01,7.20E-01,9.11E-01,-5.99677
ENSG00000134627,PIWIL4,-8.46E-03,-5.49E-02,3.80E-02,2.331,-3.58E-01,7.20E-01,9.11E-01,-5.99488
ENSG00000173988,LRRC63,-1.52E-02,-9.87E-02,6.82E-02,5.99E-01,-3.58E-01,7.20E-01,9.11E-01,-5.63469
ENSG00000100167,Sept-03,4.46E-03,-2.00E-02,2.90E-02,8.124,3.58E-01,7.21E-01,9.11E-01,-6.77534
ENSG00000153253,SCN3A,-4.76E-03,-3.09E-02,2.14E-02,7.298,-3.58E-01,7.21E-01,9.11E-01,-6.74402
ENSG00000213614,HEXA,4.75E-03,-2.13E-02,3.08E-02,4.794,3.58E-01,7.21E-01,9.11E-01,-6.50999
ENSG00000139292,LGR5,-1.05E-02,-6.79E-02,4.70E-02,2.358,-3.58E-01,7.21E-01,9.11E-01,-6.02162
ENSG00000170364,SETMAR,-5.34E-03,-3.46E-02,2.40E-02,3.74,-3.58E-01,7.21E-01,9.11E-01,-6.31971
ENSG00000067167,TRAM1,3.99E-03,-1.79E-02,2.59E-02,6.155,3.58E-01,7.21E-01,9.11E-01,-6.67352
ENSG00000078687,TNRC6C,-4.00E-03,-2.59E-02,1.80E-02,5.646,-3.58E-01,7.21E-01,9.11E-01,-6.62133
ENSG00000177283,FZD8,1.12E-02,-5.03E-02,7.27E-02,2.573,3.58E-01,7.21E-01,9.11E-01,-6.06159
ENSG00000232694,LYPD8,-1.57E-02,-1.02E-01,7.07E-02,1.319,-3.58E-01,7.21E-01,9.11E-01,-5.77003
ENSG00000189159,HN1,-4.99E-03,-3.24E-02,2.25E-02,5.232,-3.57E-01,7.21E-01,9.11E-01,-6.56503
ENSG00000225914,.,-9.88E-03,-6.42E-02,4.44E-02,3.907,-3.57E-01,7.21E-01,9.11E-01,-6.35302
ENSG00000119431,HDHD3,7.75E-03,-3.49E-02,5.03E-02,3.119,3.57E-01,7.21E-01,9.11E-01,-6.1836
ENSG00000160392,C19orf47,5.85E-03,-2.63E-02,3.80E-02,3.227,3.57E-01,7.21E-01,9.11E-01,-6.20613
ENSG00000012963,UBR7,-5.24E-03,-3.41E-02,2.36E-02,5.437,-3.57E-01,7.21E-01,9.11E-01,-6.60049
ENSG00000246100,.,-1.08E-02,-7.03E-02,4.87E-02,1.489,-3.57E-01,7.21E-01,9.11E-01,-5.80233
ENSG00000184258,CDR1,-2.12E-02,-1.38E-01,9.57E-02,9.403,-3.57E-01,7.22E-01,9.11E-01,-6.81089
ENSG00000137814,HAUS2,-4.16E-03,-2.71E-02,1.88E-02,5.039,-3.56E-01,7.22E-01,9.12E-01,-6.54918
ENSG00000260804,.,-6.93E-03,-4.51E-02,3.13E-02,5.871,-3.56E-01,7.22E-01,9.12E-01,-6.64445
ENSG00000248828,.,1.58E-02,-7.11E-02,1.03E-01,3.41E-01,3.56E-01,7.22E-01,9.12E-01,-5.56164
ENSG00000158435,C2orf29,-5.08E-03,-3.31E-02,2.30E-02,3.904,-3.56E-01,7.22E-01,9.12E-01,-6.35482
