id,label,Mesulam,Mesulam_colors,Mesulam_names
113,FOP1,2,#BEBADA,Heteromodal
114,FOP3,2,#BEBADA,Heteromodal
115,FOP2,3,#FB8072,Unimodal
116,PFt,3,#FB8072,Unimodal
117,AIP,2,#BEBADA,Heteromodal
118,EC,1,#FFFFB3,Paralimbic
119,PreS,1,#FFFFB3,Paralimbic
120,H,0,,
121,ProS,4,#80B1D3,Idiotypic
122,PeEc,1,#FFFFB3,Paralimbic
123,STGa,1,#FFFFB3,Paralimbic
124,PBelt,3,#FB8072,Unimodal
125,A5,3,#FB8072,Unimodal
126,PHA1,1,#FFFFB3,Paralimbic
127,PHA3,3,#FB8072,Unimodal
128,STSda,3,#FB8072,Unimodal
129,STSdp,3,#FB8072,Unimodal
130,STSvp,3,#FB8072,Unimodal
131,TGd,1,#FFFFB3,Paralimbic
132,TE1a,2,#BEBADA,Heteromodal
133,TE1p,2,#BEBADA,Heteromodal
134,TE2a,3,#FB8072,Unimodal
135,TF,3,#FB8072,Unimodal
136,TE2p,3,#FB8072,Unimodal
137,PHT,2,#BEBADA,Heteromodal
138,PH,3,#FB8072,Unimodal
139,TPOJ1,2,#BEBADA,Heteromodal
140,TPOJ2,2,#BEBADA,Heteromodal
141,TPOJ3,2,#BEBADA,Heteromodal
142,DVT,3,#FB8072,Unimodal
143,PGp,3,#FB8072,Unimodal
144,IP2,2,#BEBADA,Heteromodal
145,IP1,2,#BEBADA,Heteromodal
146,IP0,3,#FB8072,Unimodal
147,PFop,2,#BEBADA,Heteromodal
148,PF,2,#BEBADA,Heteromodal
149,PFm,2,#BEBADA,Heteromodal
150,PGi,2,#BEBADA,Heteromodal
151,PGs,2,#BEBADA,Heteromodal
152,V6A,3,#FB8072,Unimodal
153,VMV1,4,#80B1D3,Idiotypic
154,VMV3,3,#FB8072,Unimodal
155,PHA2,2,#BEBADA,Heteromodal
156,V4t,3,#FB8072,Unimodal
157,FST,3,#FB8072,Unimodal
158,V3CD,3,#FB8072,Unimodal
159,LO3,3,#FB8072,Unimodal
160,VMV2,4,#80B1D3,Idiotypic
161,31pd,2,#BEBADA,Heteromodal
162,31a,2,#BEBADA,Heteromodal
163,VVC,3,#FB8072,Unimodal
164,25,1,#FFFFB3,Paralimbic
165,s32,1,#FFFFB3,Paralimbic
166,pOFC,1,#FFFFB3,Paralimbic
167,PoI1,1,#FFFFB3,Paralimbic
168,Ig,1,#FFFFB3,Paralimbic
169,FOP5,2,#BEBADA,Heteromodal
170,p10p,2,#BEBADA,Heteromodal
171,p47r,2,#BEBADA,Heteromodal
172,TGv,1,#FFFFB3,Paralimbic
173,MBelt,3,#FB8072,Unimodal
174,LBelt,4,#80B1D3,Idiotypic
175,A4,3,#FB8072,Unimodal
176,STSva,3,#FB8072,Unimodal
177,TE1m,2,#BEBADA,Heteromodal
178,PI,1,#FFFFB3,Paralimbic
179,a32pr,2,#BEBADA,Heteromodal
180,p24,1,#FFFFB3,Paralimbic
