keep,label,cortex,structure_name,structure_name_short
1,46,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
1,8C,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
1,a9-46v,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
1,9p,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
1,9-46d,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
1,i6-8,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
1,8Ad,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
1,8Av,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
1,9a,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,SFL,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,8BL,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
1,s6-8,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,TE1m,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
1,TE2a,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
,TE1a,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
,TE1p,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
1,TE2p,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
1,TGv,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
,PHT,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
,TGd,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
1,EC,Medial_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
1,PeEc,Medial_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
1,PHA3,Medial_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
1,PHA2,Medial_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
,PHA1,Medial_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
1,TF,Medial_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
1,47s,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
1,OFC,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
1,p10p,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
1,11l,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
1,13l,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
1,a10p,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
1,10pp,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
1,10d,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
1,47m,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
1,10v,,orbital frontal cortex,orbital frontal cortex
1,10r,,orbital frontal cortex,orbital frontal cortex
,s32,,orbital frontal cortex,orbital frontal cortex
,25,,orbital frontal cortex,orbital frontal cortex
,AVI,,orbital frontal cortex,orbital frontal cortex
1,A4,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,TA2,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,STGa,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
1,A5,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,STSda,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,STSdp,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,STSvp,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,STSva,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,PBelt,,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,PFcm,,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
1,PGs,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
1,PGi,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
1,PFm,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,PF,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,PFop,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,IP0,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,IP1,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,PGp,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,IP2,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,PFt,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,LBelt,Early_Auditory,primary auditory cortex (core),primary auditory cortex
1,A1,Early_Auditory,primary auditory cortex (core),primary auditory cortex
,PBelt,Early_Auditory,primary auditory cortex (core),primary auditory cortex
,PFcm,Early_Auditory,primary auditory cortex (core),primary auditory cortex
,RI,Early_Auditory,primary auditory cortex (core),primary auditory cortex
,52,Early_Auditory,primary auditory cortex (core),primary auditory cortex
,MBelt,Early_Auditory,primary auditory cortex (core),primary auditory cortex
1,4,Motor,"primary motor cortex (area M1, area 4)",primary motor cortex
,FEF,Premotor,"primary motor cortex (area M1, area 4)",primary motor cortex
,PEF,Premotor,"primary motor cortex (area M1, area 4)",primary motor cortex
,55b,Premotor,"primary motor cortex (area M1, area 4)",primary motor cortex
1,6d,Premotor,"primary motor cortex (area M1, area 4)",primary motor cortex
1,6v,Premotor,"primary motor cortex (area M1, area 4)",primary motor cortex
,6r,Premotor,"primary motor cortex (area M1, area 4)",primary motor cortex
,6a,Premotor,"primary motor cortex (area M1, area 4)",primary motor cortex
1,6mp,Paracentral_Lobular_and_Mid_Cingulate,"primary motor cortex (area M1, area 4)",primary motor cortex
1,3b,Somatosensory,"primary somatosensory cortex (area S1, areas 3,1,2)",primary somatosensory cortex
1,2,Somatosensory,"primary somatosensory cortex (area S1, areas 3,1,2)",primary somatosensory cortex
1,3a,Somatosensory,"primary somatosensory cortex (area S1, areas 3,1,2)",primary somatosensory cortex
1,1,Somatosensory,"primary somatosensory cortex (area S1, areas 3,1,2)",primary somatosensory cortex
1,V1,Primary_Visual,"primary visual cortex (striate cortex, area V1/17)",primary visual cortex
1,p47r,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
1,IFSa,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
1,IFSp,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
1,44,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
1,45,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
1,47l,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
1,a47r,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
1,IFJp,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
1,IFJa,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
,p24,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,10v,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,a32pr,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,10r,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,p32,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,8BM,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,d32,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,a24,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,p32pr,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,a24pr,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,9m,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,p24pr,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,25,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,s32,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,pOFC,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,33pr,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,p9-46v,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,46,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,8C,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,a9-46v,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,9p,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,9-46d,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,i6-8,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,8Ad,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,8Av,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,9a,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,SFL,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,8BL,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,s6-8,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
,TE1m,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
,TE2a,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
,TE1a,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
,TE1p,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
,TE2p,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
,TGv,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
,PHT,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
,TGd,Lateral_Temporal,"inferolateral temporal cortex (area TEv, area 20)",inferolateral temporal cortex
,47s,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
,OFC,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
,p10p,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
,11l,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
,13l,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
,a10p,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
,10pp,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
,10d,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
,47m,Orbital_and_Polar_Frontal,orbital frontal cortex,orbital frontal cortex
,A4,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,TA2,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,STGa,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,A5,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,STSda,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,STSdp,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,STSvp,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,STSva,Auditory_Association,posterior (caudal) superior temporal cortex (area 22c),posterior superior temporal cortex
,PGs,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,PGi,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,PFm,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,PF,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,PFop,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,IP0,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,IP1,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,PGp,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,IP2,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,PFt,Inferior_Parietal,posteroventral (inferior) parietal cortex,inferior parietal cortex
,LBelt,Early_Auditory,primary auditory cortex (core),primary auditory cortex
,A1,Early_Auditory,primary auditory cortex (core),primary auditory cortex
,PBelt,Early_Auditory,primary auditory cortex (core),primary auditory cortex
,PFcm,Early_Auditory,primary auditory cortex (core),primary auditory cortex
,RI,Early_Auditory,primary auditory cortex (core),primary auditory cortex
,52,Early_Auditory,primary auditory cortex (core),primary auditory cortex
,MBelt,Early_Auditory,primary auditory cortex (core),primary auditory cortex
,4,Motor,"primary motor cortex (area M1, area 4)",primary motor cortex
,3b,Somatosensory,"primary somatosensory cortex (area S1, areas 3,1,2)",primary somatosensory cortex
,2,Somatosensory,"primary somatosensory cortex (area S1, areas 3,1,2)",primary somatosensory cortex
,3a,Somatosensory,"primary somatosensory cortex (area S1, areas 3,1,2)",primary somatosensory cortex
,1,Somatosensory,"primary somatosensory cortex (area S1, areas 3,1,2)",primary somatosensory cortex
,V1,Primary_Visual,"primary visual cortex (striate cortex, area V1/17)",primary visual cortex
,p47r,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
,IFSa,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
,IFSp,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
,44,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
,45,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
,47l,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
,a47r,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
,IFJp,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
,IFJa,Inferior_Frontal,ventrolateral prefrontal cortex,ventrolateral prefrontal cortex
,MST,MT+_Complex_and_Neighboring_Visual_Areas,,
,V6,Dorsal_Stream_Visual,,
,V2,Early_Visual,,
,V3,Early_Visual,,
,V4,Early_Visual,,
,V8,Ventral_Stream_Visual,,
,FEF,Premotor,,
,PEF,Premotor,,
,55b,Premotor,,
,V3A,Dorsal_Stream_Visual,,
,RSC,Posterior_Cingulate,,
,POS2,Posterior_Cingulate,,
,V7,Dorsal_Stream_Visual,,
,IPS1,Dorsal_Stream_Visual,,
,FFC,Ventral_Stream_Visual,,
,V3B,Dorsal_Stream_Visual,,
,LO1,MT+_Complex_and_Neighboring_Visual_Areas,,
,LO2,MT+_Complex_and_Neighboring_Visual_Areas,,
,PIT,Ventral_Stream_Visual,,
,MT,MT+_Complex_and_Neighboring_Visual_Areas,,
,PSL,Temporo-Parieto_Occipital_Junction,,
,PCV,Posterior_Cingulate,,
,STV,Temporo-Parieto-Occipital_Junction,,
,7Pm,Superior_Parietal,,
,7m,Posterior_Cingulate,,
,POS1,Posterior_Cingulate,,
,23d,Posterior_Cingulate,,
,v23ab,Posterior_Cingulate,,
,d23ab,Posterior_Cingulate,,
,31pv,Posterior_Cingulate,,
,5m,Paracentral_Lobular_and_Mid_Cingulate,,
,5mv,Paracentral_Lobular_and_Mid_Cingulate,,
,23c,Paracentral_Lobular_and_Mid_Cingulate,,
,5L,Paracentral_Lobular_and_Mid_Cingulate,,
,24dd,Paracentral_Lobular_and_Mid_Cingulate,,
,24dv,Paracentral_Lobular_and_Mid_Cingulate,,
,7AL,Superior_Parietal,,
,SCEF,Paracentral_Lobular_and_Mid_Cingulate,,
,6ma,Paracentral_Lobular_and_Mid_Cingulate,,
,7Am,Superior_Parietal,,
,7Pl,Superior_Parietal,,
,7PC,Superior_Parietal,,
,LIPv,Superior_Parietal,,
,VIP,Superior_Parietal,,
,MIP,Superior_Parietal,,
,6d,Premotor,,
,6mp,Paracentral_Lobular_and_Mid_Cingulate,,
,6v,Premotor,,
,6r,Premotor,,
,LIPd,Superior_Parietal,,
,6a,Premotor,,
,43,Posterior_Opercular,,
,OP4,Posterior_Opercular,,
,OP1,Posterior_Opercular,,
,OP2-3,Posterior_Opercular,,
,PoI2,Insular_and_Frontal_Opercular,,
,FOP4,Insular_and_Frontal_Opercular,,
,MI,Insular_and_Frontal_Opercular,,
,Pir,Insular_and_Frontal_Opercular,,
,AVI,Insular_and_Frontal_Opercular,,
,AAIC,Insular_and_Frontal_Opercular,,
,FOP1,Posterior_Opercular,,
,FOP3,Insular_and_Frontal_Opercular,,
,FOP2,Insular_and_Frontal_Opercular,,
,AIP,Superior_Parietal,,
,EC,Medial_Temporal,,
,PreS,Medial_Temporal,,
,H,Medial_Temporal,,
,ProS,Posterior_Cingulate,,
,PeEc,Medial_Temporal,,
,PHA1,Medial_Temporal,,
,PHA3,Medial_Temporal,,
,TF,Medial_Temporal,,
,PH,MT+_Complex_and_Neighboring_Visual_Areas,,
,TPOJ1,Temporo-Parieto-Occipital_Junction,,
,TPOJ2,Temporo-Parieto-Occipital_Junction,,
,TPOJ3,Temporo-Parieto-Occipital_Junction,,
,DVT,Posterior_Cingulate,,
,V6A,Dorsal_Stream_Visual,,
,VMV1,Ventral_Stream_Visual,,
,VMV3,Ventral_Stream_Visual,,
,PHA2,Medial_Temporal,,
,V4t,MT+_Complex_and_Neighboring_Visual_Areas,,
,FST,MT+_Complex_and_Neighboring_Visual_Areas,,
,V3CD,MT+_Complex_and_Neighboring_Visual_Areas,,
,LO3,MT+_Complex_and_Neighboring_Visual_Areas,,
,VMV2,Ventral_Stream_Visual,,
,31pd,Posterior_Cingulate,,
,31a,Posterior_Cingulate,,
,VVC,Ventral_Stream_Visual,,
,PoI1,Insular_and_Frontal_Opercular,,
,Ig,Insular_and_Frontal_Opercular,,
,FOP5,Insular_and_Frontal_Opercular,,
,PI,Insular_and_Frontal_Opercular,,
