keep,label,cortex,structure_name,structure_name_short
1,p24,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,10v,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,a32pr,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,10r,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,p32,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,8BM,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,d32,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
1,a24,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,p32pr,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
1,a24pr,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,9m,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
1,p24pr,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,25,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,s32,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
,pOFC,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
1,33pr,Anterior_Cingulate_and_Medial_Prefrontal,anterior (rostral) cingulate (medial prefrontal) cortex,medial prefrontal cortex
1,p9-46v,Dorsolateral_Prefrontal,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex
