paquola_FC,T1T2,MEG_theta,glasser_GI,d_intramod60,dMT,dCT,hill_evo,hill_dev,externopyramidisation,thickness,PC1_neurosynth,G1_fMRI,allom,CBF
0.291374627,1.546116691,0.21639293,-0.527573129,0.00620798,1.10523629,-3.412645,-1.726372488,-0.06409256,0.402074598,1.946323365,5.313402818,-2.972374845,0.852848847,59.0596163
0.23884201,1.498078728,0.22766025,-0.131118717,0.004790457,2.896366415,-3.078836,0.425740897,0.011094775,0.289589301,2.386512889,-10.91652637,-4.104730087,1.11620487,65.50368981
0.263631188,1.506699605,0.20953475,-0.258507918,0.016771037,3.671981399,-2.687284,-1.23317759,-0.11251091,0.127838834,2.119732102,1.154318187,-4.465321892,0.989554872,56.30642427
0.304303346,1.508880602,0.21510765,-0.383811304,0.010567801,1.947632525,-3.378259,-1.404348526,-0.113119204,0.363391108,2.028844171,1.154318187,-3.68021356,0.843523037,59.30634295
0.297264943,1.480787196,0.2094376,-0.141583439,0.007654111,2.680551082,-2.361125,-1.184210078,-0.093504656,0.413851526,2.185817791,1.154318187,-3.76028501,0.912007312,58.10154586
0.278994532,1.458808479,0.21348001,-0.104993972,0.005967163,4.429850727,-2.903843,-0.985882,-0.090711493,0.374659681,2.270075904,9.472487448,-3.996609343,0.983406837,56.8548388
0.242668047,1.43834413,0.21653077,-0.346299975,0.007444708,3.72442174,-1.534491,-1.471324348,-0.145878207,0.534154983,2.647230513,16.38000802,-4.249206165,0.956328121,50.86276892
0.263609846,1.619256505,0.27034494,0.02840871,0.016801265,2.705465458,-3.527086,-0.292924653,-0.024233027,0.199747375,2.714827562,-26.29931758,-5.046522121,0.858386254,54.27478921
0.273110809,1.542989769,0.2589926,-0.075461203,0.01635031,2.753569681,-2.437406,0.381761774,0.011146809,0.185176394,1.77471346,-26.29931758,-5.042306568,0.899373075,60.56327932
0.252844221,1.379289414,0.28791726,0.218053631,0.002129135,3.217005045,-1.39319,0.473475374,0.058888503,0.133034564,2.59206866,-34.24741033,-2.514140036,0.925550054,69.12178123
