,label,gene,study
2661,ASD,NOS2,2
2663,ASD,NOTCH2,2
2665,ASD,NOVA1,3
2674,ASD,NQO1,3
2677,ASD,NR2E1,3
2680,ASD,NREP,2
2682,ASD,NRN1,3
2685,ASD,NRSN2,2
2687,ASD,NRXN3,3
2689,ASD,NSG1,2
2692,ASD,NT5C2,2
2694,ASD,NT5DC1,3
2695,ASD,NT5M,2
2696,ASD,NTHL1,2
2698,ASD,NTN4,3
2699,ASD,NTSR2,3
2700,ASD,NUAK1,3
2705,ASD,NUDT2,2
2708,ASD,NUFIP2,3
2715,ASD,NUP93,2
2716,ASD,NUP98,2
2717,ASD,NUPR1,3
2724,ASD,NXN,2
2728,ASD,NXPH3,2
2733,ASD,OAS3,2
2734,ASD,OAT,2
2735,ASD,OBFC1,2
2737,ASD,OCIAD1,3
2741,ASD,OGDHL,2
2746,ASD,OPA1,2
2748,ASD,OPHN1,3
2749,ASD,OPN3,3
2750,ASD,OPTN,3
2754,ASD,ORC2,2
2759,ASD,OSBPL11,2
2770,ASD,OTUB1,3
2772,ASD,OTUD4,2
2773,ASD,OTUD7A,2
2776,ASD,OXR1,3
2780,ASD,P4HA1,3
2781,ASD,P4HA2,2
2785,ASD,PABPC4,3
2787,ASD,PACSIN2,2
2789,ASD,PAFAH1B1,2
2796,ASD,PALLD,3
2801,ASD,PANX2,2
2802,ASD,PAPD5,2
2803,ASD,PAPOLA,2
2808,ASD,PARD3,3
2810,ASD,PARD6A,3
2814,ASD,PARP10,2
2815,ASD,PARP12,2
2816,ASD,PARP14,2
2817,ASD,PARP6,2
2818,ASD,PARP9,2
2819,ASD,PART1,2
2820,ASD,PARVG,3
2826,ASD,PBXIP1,3
2828,ASD,PCBD1,2
2832,ASD,PCDHA1,2
2841,ASD,PCDHB10,2
2847,ASD,PCDHB18,2
2848,ASD,PCDHB19P,3
2865,ASD,PCMT1,3
2868,ASD,PCP4,2
2870,ASD,PCSK1,2
2872,ASD,PCSK2,2
2873,ASD,PCSK5,2
2880,ASD,PDCD6IP,2
2881,ASD,PDE10A,3
2884,ASD,PDE4DIP,3
2890,ASD,PDHB,2
2898,ASD,PDLIM3,3
2900,ASD,PDLIM5,3
2901,ASD,PDP1,2
2909,ASD,PEA15,3
2910,ASD,PEBP1,2
2915,ASD,PELI3,3
2919,ASD,PEX11B,2
2921,ASD,PEX5,2
2922,ASD,PEX5L,3
2923,ASD,PFDN1,2
2926,ASD,PFN2,2
2927,ASD,PGAM2,2
2937,ASD,PHF11,2
2941,ASD,PHF21B,3
2947,ASD,PHYHIPL,2
2952,ASD,PICK1,2
2962,ASD,PIGX,2
2966,ASD,PIK3C3,2
2967,ASD,PIK3CB,3
2968,ASD,PIK3R1,2
2976,ASD,PIR,2
2978,ASD,PITPNA,2
2982,ASD,PJA2,3
2986,ASD,PKN2,2
2987,ASD,PKNOX1,3
2992,ASD,PLAUR,3
2993,ASD,PLB1,2
2994,ASD,PLBD2,2
2995,ASD,PLCB1,3
2996,ASD,PLCB3,3
2997,ASD,PLCD1,2
2998,ASD,PLCE1,3
3004,ASD,PLEKHA4,3
3005,ASD,PLEKHB2,2
3006,ASD,PLEKHF2,2
3008,ASD,PLEKHG2,2
3013,ASD,PLEKHO2,2
3018,ASD,PLLP,2
3019,ASD,PLOD1,3
3020,ASD,PLOD2,3
3023,ASD,PLSCR1,3
3024,ASD,PLSCR4,3
3025,ASD,PLTP,3
3027,ASD,PLXDC1,3
3029,ASD,PLXNA2,2
3031,ASD,PLXNB2,2
3032,ASD,PM20D2,2
3034,ASD,PML,2
3035,ASD,PMP2,2
3040,ASD,PNMA3,2
3046,ASD,PNMAL2,2
3047,ASD,PNP,3
3049,ASD,PNRC2,3
3057,ASD,POLR3E,2
3058,ASD,POLR3F,2
3065,ASD,POP7,2
3066,ASD,POR,2
3067,ASD,PORCN,2
3069,ASD,POU6F1,2
3075,ASD,PPARGC1A,2
3077,ASD,PPBP,2
