,atlas,class,G,mean,p,q,color
0,Mesulam,Idiotypic,G1,0.8037572731739558,0.016800000000000148,0.016800000000000148,#80B1D3
1,Mesulam,Idiotypic,G2,0.0041627915598701085,0.9792000000000001,0.9792000000000001,#80B1D3
2,Mesulam,Idiotypic,G3,1.2073419639392358,0.0,0.0,#80B1D3
3,Mesulam,Unimodal,G1,0.3212491984083751,0.25319999999999987,0.25319999999999987,#FB8072
4,Mesulam,Unimodal,G2,-0.06905686673205039,0.8164,0.8164,#FB8072
5,Mesulam,Unimodal,G3,-0.20767040276942403,0.5524,0.5524,#FB8072
6,Mesulam,Paralimbic,G1,-1.2308455604233977,0.011200000000000002,0.011200000000000002,#FFFFB3
7,Mesulam,Paralimbic,G2,-0.6575089460714625,0.276,0.276,#FFFFB3
8,Mesulam,Paralimbic,G3,0.479897313361592,0.4263999999999999,0.4263999999999999,#FFFFB3
9,Mesulam,Heteromodal,G1,0.008705589292859351,0.9648000000000001,0.9648000000000001,#BEBADA
10,Mesulam,Heteromodal,G2,0.41549528806637387,0.020399999999999974,0.020399999999999974,#BEBADA
11,Mesulam,Heteromodal,G3,-0.49613549401394746,0.0044,0.0044,#BEBADA
0,vonEconomo,Sensory 1,G1,1.3097957749225018,0.0040000000000000036,0.0040000000000000036,#fffb00
1,vonEconomo,Sensory 1,G2,-0.6179757497626548,0.3028,0.3028,#fffb00
2,vonEconomo,Sensory 1,G3,0.8553255613660384,0.15800000000000014,0.15800000000000014,#fffb00
3,vonEconomo,Sensory 2,G1,0.11621419465823353,0.8,0.8,#f59505
4,vonEconomo,Sensory 2,G2,-0.5058796093436803,0.1928,0.1928,#f59505
5,vonEconomo,Sensory 2,G3,-0.04064285628904338,0.9331999999999999,0.9331999999999999,#f59505
6,vonEconomo,Association 1,G1,0.044595288620877666,0.8612,0.8612,#220ced
7,vonEconomo,Association 1,G2,0.2819066851608696,0.2427999999999999,0.2427999999999999,#220ced
8,vonEconomo,Association 1,G3,-0.17742092412477142,0.474,0.474,#220ced
11,vonEconomo,Motor,G3,1.1188249174187606,0.09440000000000004,0.09440000000000004,#6f057a
10,vonEconomo,Motor,G2,0.9677504999627601,0.1419999999999999,0.1419999999999999,#6f057a
9,vonEconomo,Motor,G1,0.2571054245815336,0.6852,0.6852,#6f057a
12,vonEconomo,Limbic,G1,-1.0987951854540143,0.0716,0.0716,#00fffb
13,vonEconomo,Limbic,G2,-0.6942651885147172,0.3096,0.3096,#00fffb
14,vonEconomo,Limbic,G3,0.8575767429758161,0.2287999999999999,0.2287999999999999,#00fffb
15,vonEconomo,Association 2,G1,0.09458421915367336,0.8376000000000001,0.8376000000000001,#067a08
16,vonEconomo,Association 2,G2,0.11265440578253748,0.8235999999999999,0.8235999999999999,#067a08
17,vonEconomo,Association 2,G3,-0.7797567535691396,0.0688,0.0688,#067a08
18,vonEconomo,Insula,G1,-1.116430904542876,0.1948,0.1948,#f200ff
19,vonEconomo,Insula,G2,-0.9874568548119311,0.298,0.298,#f200ff
20,vonEconomo,Insula,G3,0.48091691416799687,0.5988,0.5988,#f200ff
0,Yeo,Visual,G1,0.7942023392051365,0.30400000000000005,0.30400000000000005,#660066
1,Yeo,Visual,G2,-1.1943109909658511,0.14,0.14,#660066
2,Yeo,Visual,G3,0.02157613502364417,0.9736,0.9736,#660066
3,Yeo,Somatomotor,G1,0.45583171324506316,0.38039999999999985,0.38039999999999985,#0066CC
4,Yeo,Somatomotor,G2,-0.002780284405449067,0.9940000000000001,0.9940000000000001,#0066CC
5,Yeo,Somatomotor,G3,0.5267760043589692,0.3215999999999999,0.3215999999999999,#0066CC
6,Yeo,Dorsal attention,G1,0.5555625639748392,0.28600000000000003,0.28600000000000003,#009900
7,Yeo,Dorsal attention,G2,0.30125173077271705,0.6236000000000002,0.6236000000000002,#009900
8,Yeo,Dorsal attention,G3,-0.31981128724651553,0.5788,0.5788,#009900
11,Yeo,Central attention,G3,0.44751606623902535,0.28680000000000017,0.28680000000000017,#FF00FF
10,Yeo,Central attention,G2,0.2722802414094803,0.5091999999999999,0.5091999999999999,#FF00FF
9,Yeo,Central attention,G1,-0.7151629939063329,0.0436,0.0436,#FF00FF
12,Yeo,Default mode,G1,-0.41281846214127615,0.1308,0.1308,#FF6666
13,Yeo,Default mode,G2,0.177435743931574,0.5491999999999999,0.5491999999999999,#FF6666
14,Yeo,Default mode,G3,-0.31825411978448753,0.31679999999999997,0.31679999999999997,#FF6666
15,Yeo,Frontoparietal,G1,-0.007517914392095973,0.9895999999999999,0.9895999999999999,#FF8000
16,Yeo,Frontoparietal,G2,0.9154878371661487,0.08440000000000003,0.08440000000000003,#FF8000
17,Yeo,Frontoparietal,G3,-0.25354379352358986,0.6628000000000001,0.6628000000000001,#FF8000
18,Yeo,Limbic,G1,-1.400466525328709,0.0336,0.0336,#FFFF99
19,Yeo,Limbic,G2,-0.7647441586525093,0.3148,0.3148,#FFFF99
20,Yeo,Limbic,G3,-0.0406179363795148,0.9856,0.9856,#FFFF99
