id,C1,C2,C3,label
1,2.119822665258653,-2.1265796343640715,-1.9062370535637416,V1
4,2.04967940375712,-1.7746480947558094,-1.488020310455398,V2
5,2.0345868379871663,-1.8992215243298491,-1.2997105532321265,V3
6,1.6273857048178764,-1.5425352246888804,-0.4810290887531072,V4
8,1.2650548516513895,1.4831665914974934,-2.0126931266279278,4
9,1.7492761026814672,-0.27596781657875114,-2.3849277363539425,3b
10,0.3682571812631786,1.8893100717748232,-0.6051002793468684,FEF
12,0.4827999134169886,2.3547005934042238,-0.7506182976587866,55b
13,1.9199118258299297,-1.4503720271178657,-0.46205273971697686,V3A
14,0.7219091908730684,-0.1897088637002104,-0.611262639737012,RSC
15,1.1087949061119948,-0.21624826751014056,1.1043745780862646,POS2
17,1.4162071179777402,-0.7732328298662647,-1.2524850878654874,IPS1
18,0.24245252476759926,-0.8349132746232549,0.980514386684015,FFC
24,1.65135737306769,-0.8695166733073842,-2.013208857283045,A1
25,0.3063262139877959,0.08014889758713067,1.4430476732207043,PSL
26,0.028740105667916155,2.120805052987808,-0.7992459450650317,SFL
27,0.69933391070715,-0.08704095619668822,0.3189827568006627,PCV
28,0.06577943406006594,0.26859651716674926,1.2222252999639216,STV
29,1.0912094010674767,0.22919758491306572,0.9992387331346371,7Pm
30,1.2813118968730874,-0.5085364978390684,-0.26108058899774045,7m
31,0.43159579362409045,-0.5860210414104968,0.9497872989136921,POS1
32,-0.37034691712125123,0.3685224531857197,0.23177387557304058,23d
34,0.2752456174501258,-0.5707157303524972,-0.5333617038976102,d23ab
35,0.7382664158210911,-0.3589477996931872,0.981596897921099,31pv
37,0.5378346284486273,-0.5251858766294824,0.0005625136436546725,5mv
38,-0.34848777284083143,0.5410594889091893,-0.10231201141777753,23c
39,0.6362677544825357,-0.01896053133262323,-0.37837193922150075,5L
40,0.5963678154647586,1.5372112492181007,-1.2311319690298668,24dd
41,-0.7955233349109956,0.5340600545997681,-1.0253973530813638,24dv
42,0.7411853711615433,-0.04263813967419349,0.2998287926048231,7AL
43,0.11547901691285198,2.003942648858498,-0.7097672634365609,SCEF
44,-0.1586098661493783,1.7143338268460497,-0.19495620325351898,6ma
45,0.6958243286632536,0.055451777569399056,0.0028725544105239575,7Am
47,0.8139015324780098,0.36893325782952363,-0.666728820512791,7PC
48,1.1546454480574684,-0.027438456792296687,0.2525417206606042,LIPv
49,0.9947454295323422,0.02509408422817421,-0.24391361589832558,VIP
50,1.1335111420495778,-0.23301120165728276,-0.2831325280825761,MIP
51,1.4597006219506592,0.5403505499305239,-0.9471577801462029,1
52,0.8243114357922636,-0.09956501588815347,0.6010338294830213,2
53,1.6619812480959109,0.3393381887681119,-2.4457692353394505,3a
54,0.8931871904134489,2.0067549121281996,-2.1312290443813566,6d
55,0.43179555932033076,2.2835174133382448,-1.7341275412744401,6mp
57,-0.9285278248155121,0.9127866744010732,-0.6331675307336804,p24pr
58,-1.4288147526566772,-0.04964539600504503,-2.7855790880544067,33pr
59,-1.4020222409357472,0.25679554763633655,-1.9078875110802151,a24pr
60,-0.5363209959230281,1.6072263272646976,-0.03234160351431883,p32pr
61,-1.7835285633958968,-0.7073002571670917,-1.1356305841329009,a24
62,-1.1465656752525248,0.5307452558401695,-0.25164334928066695,d32
63,-0.30267131164972055,1.672599791309508,0.27636116098232977,8BM
64,-1.3006304436239142,-0.02443109443633162,-0.09905801960451129,p32
65,-0.6892529898089365,-0.14931365498034133,1.1028019531264663,10r
67,0.09411173786271367,1.8122862052613027,-0.2925570961216133,8Av
68,-0.06133349664395309,1.6556007892548974,0.30122028723124167,8Ad
69,-0.8949091471405369,0.7768142947121606,0.3634742768006487,9m
70,-0.39323255289056863,1.565350489150966,-0.26379395460247274,8BL
71,-0.39793744089394945,1.1370871798461997,0.3469293600532736,9p
73,0.23765284708804035,1.661017666564513,0.387967397439491,8C
74,-0.541112719732188,0.986577588006689,0.5918545436728709,44
75,-0.06941781435567437,1.3035079747607883,1.0687668838562976,45
76,-0.22166622597597269,1.1552231052920485,0.7831252472079863,47l
77,-0.2955990571124691,0.45297686188775804,1.0036079433319844,a47r
81,0.512719535894423,1.1654508152883805,0.7438658177248414,IFSp
82,-0.0075650552904851535,0.9768713805521204,0.8705149941159432,IFSa
83,0.4880340137175214,1.1380837105838826,0.5525892410335296,p9-46v
84,-0.20507743256177338,1.21753882349278,1.1165807454061858,46
85,-0.05971161959504023,0.4205684126783032,1.1897888326796644,a9-46v
86,-0.20547329417562907,0.3571495892565584,0.3505311383201928,9-46d
87,-0.19864827569634602,0.20218867847003105,1.4731691664744828,9a
88,-1.061948538293816,-0.015708830258152843,0.16842997744871638,10v
91,-0.38541841004435684,0.13560202350795844,0.8505071982899371,11l
92,-0.7925845465949073,0.4958067932288329,0.8314133865779096,13l
93,-1.3813602422046203,-0.21330829428619677,0.591555891240444,OFC
94,-1.3690672027577238,0.14821716380627145,0.3297287868886147,47s
96,0.016482466034114945,2.0253999123302533,-0.39913562588591905,6a
97,0.33934627767839476,2.092074302053034,-0.6370062166885148,i6-8
99,0.060544485826679484,1.2313319295215097,0.45674432728643677,43
100,0.38529414563381326,0.18901359874651114,-0.10641401273488782,OP4
103,-0.629029998082035,-1.0682078586924875,0.0590844691541764,52
106,-1.9007323243491994,-1.065242688897819,-1.5849993636074355,PoI2
107,-1.1095422843129774,-1.4586539927740483,0.4578904664336929,TA2
108,-0.9420783951379372,0.8370242423591159,-0.042857750517580694,FOP4
109,-1.8015678778671815,-0.26938088330026916,-0.5826896374091003,MI
