,C1,C2,C3
A1BG,-0.8061796335528485,-0.1392299018661724,-0.017945274489808427
A1BG-AS1,-0.6244773224753196,-0.03683722436911792,0.3770029524549578
AAAS,0.6006878613153884,0.13934961799519896,-0.059783037477457605
AAED1,-0.722688499157856,-0.008914847819537488,-0.19045165342730386
AAGAB,-0.26136325072751343,0.5547946729450771,0.3458622570492796
AAK1,0.696933980070659,0.03130303068237229,0.05730352257196562
AARD,0.6822040463391973,-0.06387026633032955,0.17356808788457945
AARS,0.5153242788057314,0.41940464137302175,0.26544008368267924
AASDH,0.5301033356682574,-0.46091085342221666,-0.1305794606733246
AATF,0.12827198442654802,0.6210466921345712,-0.2264679305331219
ABCA1,-0.47506693739814226,-0.3939175266164102,-0.3063307846849251
ABCA5,0.47067545758640184,-0.5208838300676603,0.1260676651221808
ABCA6,0.7588623615042599,-0.007550756736962883,-0.31564323115916665
ABCA7,0.6740097543799172,0.15804980392052428,-0.04137477258466584
ABCA9,0.7506066972200057,-0.1189661224028191,-0.11622208030407177
ABCB10,0.6168175633071123,-0.24267757576932478,0.07111676242053497
ABCB6,-0.6010143599980143,0.2909632495383379,0.16932430324474626
ABCB7,0.6907338763011552,-0.16337862211853554,-0.3121162132805747
ABCC1,0.7012030851696662,0.05614470376804345,-0.09108026466716945
ABCC12,-0.2457014772832792,0.36418383528573955,0.6783168042045541
ABCC4,-0.5476107411449094,0.23595308930400624,-0.3270208490487141
ABCC5,0.3790626698312071,-0.5843553547657031,0.041498143636444274
ABCC6,-0.5546050569774654,0.15988993721041006,0.22155075619780096
ABCC8,0.7180404030012779,-0.0015928040156628878,0.163830604981898
ABCC9,0.08739378275510162,0.45869131171688354,-0.39478102199601156
ABCD2,0.692172779521467,-0.10646664679666872,-0.13597731138552752
ABCD4,0.2827674868920856,-0.16219212919802503,-0.30217203279984894
ABCG1,0.07460019259838775,-0.561307759366203,-0.18591136153699853
ABCG2,0.4358848274562361,0.3074227894881793,-0.382076411695515
ABCG4,0.7729682524106918,0.3502867494818485,-0.017296608299186
ABCG5,-0.3455111439696863,0.6122253111490388,0.01570905141583058
ABHD1,-0.6110915326507604,0.05417180084948408,-0.22747244286979001
ABHD11,0.6652326894713849,-0.09611814765384272,0.07279322753317201
ABHD12,0.6530696173821711,0.4750972715143711,-0.33478226460760624
ABHD12B,-0.15098990403524987,0.7575783880680272,0.2305713515976506
ABHD13,0.6116292723384168,-0.24544349902568394,0.11901332830543605
ABHD17A,0.7386536602970633,-0.03594199969989391,-0.10311300140611307
ABHD17B,0.7047132165990471,-0.023777409328233152,-0.2911090195554654
ABHD17C,-0.6728782620336803,-0.07821502953634646,0.1773969483452669
ABHD3,0.3982700147238436,-0.0022194021211413154,-0.4067499995539627
ABHD6,0.5664539367840914,0.3511726682391532,-0.33271101081575666
ABI1,-0.7114833249266042,0.01862441173423374,0.17205355064335723
ABI2,-0.49306820783392385,-0.22029598808288123,0.2925922931345137
ABL2,0.48112536709531767,0.21658879377755524,0.2564372743706399
