,9861,10021,12876,14380,15496,15697
78,3,2,0,0,0,0
79,2,0,0,0,0,0
80,0,1,0,0,0,1
81,0,0,0,1,1,2
82,1,1,1,0,0,0
83,0,1,1,2,0,1
84,3,1,3,1,3,2
85,1,1,0,1,1,0
86,4,2,0,2,1,3
87,3,5,0,4,1,1
88,3,2,0,1,3,1
89,4,3,0,0,0,0
90,2,7,0,0,0,0
91,5,2,1,2,3,3
92,1,3,1,2,0,2
93,9,6,7,6,4,3
94,1,0,1,1,0,1
95,0,0,0,1,0,0
96,6,3,0,1,1,2
97,3,5,1,1,1,2
98,1,0,0,0,1,0
99,3,2,1,2,0,2
100,1,1,1,1,0,1
101,0,1,0,0,0,0
102,0,1,1,0,0,0
103,0,2,1,2,1,1
104,0,1,0,0,0,0
105,1,0,0,1,0,0
106,1,1,0,1,1,1
107,2,1,0,4,1,1
108,2,1,0,1,2,1
109,2,0,1,1,3,2
110,0,2,0,1,0,0
111,3,3,0,2,0,1
112,0,0,0,0,0,1
113,1,0,0,0,1,0
114,3,2,1,1,0,0
115,0,0,1,0,0,0
116,4,1,0,2,1,1
117,5,1,4,3,0,1
118,3,3,1,3,1,2
119,1,0,1,1,2,0
120,0,0,0,0,0,0
121,0,2,0,0,1,0
122,18,7,3,7,4,13
123,1,0,0,0,3,3
124,3,1,1,2,2,1
125,4,0,2,2,1,4
126,1,3,0,1,0,0
127,3,1,4,3,1,2
128,4,2,0,0,0,0
129,4,2,2,2,1,2
130,5,3,1,2,0,1
131,8,3,4,3,3,4
132,7,0,2,1,3,1
133,15,5,2,3,3,1
134,21,9,2,5,2,5
135,11,6,1,10,5,3
136,5,2,5,4,3,4
137,4,3,1,3,0,3
138,5,1,3,0,4,0
139,2,2,2,1,0,0
140,0,2,1,1,1,1
141,0,5,0,0,1,0
142,0,0,0,1,2,1
143,2,2,0,1,1,0
144,0,2,2,1,1,1
145,3,1,1,0,2,1
146,1,3,0,0,0,2
147,2,0,0,2,1,0
148,4,2,0,3,3,1
149,4,2,0,1,1,2
150,2,2,4,0,0,0
151,3,2,1,2,1,1
152,0,0,0,0,0,0
153,0,1,3,0,1,2
154,3,0,1,2,2,0
155,3,1,1,1,1,1
156,0,0,0,0,1,0
157,1,0,4,1,1,4
158,0,0,0,1,0,1
159,3,0,2,2,1,3
160,1,0,0,0,0,0
161,1,1,1,0,1,1
162,0,1,2,0,1,1
163,3,1,0,2,2,1
164,0,3,2,1,0,1
165,1,5,2,1,0,1
166,2,2,0,0,2,0
167,2,2,1,1,2,1
168,1,1,1,0,0,0
169,0,0,0,0,0,0
170,0,4,0,0,1,0
171,0,3,2,0,2,0
172,3,5,0,4,2,3
173,2,2,1,1,1,2
174,0,0,1,0,0,0
175,9,1,2,2,3,2
176,5,5,0,2,2,2
177,3,1,1,3,1,1
178,3,1,2,1,0,1
179,3,3,1,1,1,2
180,3,2,0,0,0,0
181,0,0,0,0,0,0
182,0,0,0,0,0,0
183,0,0,0,0,0,0
184,0,0,0,0,0,0
185,0,0,0,0,0,0
186,0,0,0,0,0,0
187,0,0,0,0,0,0
188,0,0,0,0,0,0
189,0,0,0,0,0,0
190,0,0,0,0,0,0
191,0,0,0,0,0,0
192,0,0,0,0,0,0
193,0,0,0,0,0,0
194,0,0,0,0,0,0
195,0,0,0,0,0,0
196,0,0,0,0,0,0
197,0,0,0,0,0,0
198,0,0,0,0,0,0
199,0,0,0,0,0,0
200,0,0,0,0,0,0
201,0,0,0,0,0,0
202,0,0,0,0,0,0
203,0,0,0,0,0,0
204,0,0,0,0,0,0
205,0,0,0,0,0,0
206,0,0,0,0,0,0
207,0,0,0,0,0,0
208,0,0,0,0,0,0
209,0,0,0,0,0,0
210,0,0,0,0,0,0
211,0,0,0,0,0,0
212,0,0,0,0,0,0
213,0,0,0,0,0,0
214,0,0,0,0,0,0
215,0,0,0,0,0,0
216,0,0,0,0,0,0
217,0,0,0,0,0,0
218,0,0,0,0,0,0
219,0,0,0,0,0,0
220,0,0,0,0,0,0
221,0,0,0,0,0,0
222,0,0,0,0,0,0
223,0,0,0,0,0,0
224,0,0,0,0,0,0
225,0,0,0,0,0,0
226,0,0,0,0,0,0
227,0,0,0,0,0,0
228,0,0,0,0,0,0
229,0,0,0,0,0,0
230,0,0,0,0,0,0
231,0,0,0,0,0,0
232,0,0,0,0,0,0
233,0,0,0,0,0,0
234,0,0,0,0,0,0
235,0,0,0,0,0,0
