id,G1,G2,G3,label
1,2.0149521664801586,-2.311898671584886,1.2738506883328158,V1
2,1.6362534614108912,-0.9064742504724355,0.696323635487097,MST
3,0.9224616504242122,0.16415558665636912,0.0912718502113986,V6
4,1.9674268791433285,-1.9458795506409718,0.9166849108975905,V2
5,1.9587515903895112,-1.994856212818245,0.6864291208212583,V3
6,1.5126778312329363,-1.359905929289725,-0.33311587932066145,V4
7,1.1440656037267496,-0.6742975399869993,0.04642717065730824,V8
8,1.1957746547052932,0.7909330419248367,2.3397427457281843,4
9,1.7206193263046494,-0.9389722990592094,1.9807119092452143,3b
10,0.27891683128635275,1.776064096270928,1.3154333375310796,FEF
11,0.18095586629292426,0.7327239529186731,1.7957873572133498,PEF
12,0.4093134570105431,1.960068666787589,1.6310099591833733,55b
13,1.87625894902055,-1.4891832844471602,0.34244391211678443,V3A
14,0.5814566735759281,0.1770809272546435,0.10070605649614067,RSC
15,1.0671453664360522,0.1325390796094338,-0.8565429369022609,POS2
16,1.7104918732713221,-0.9665201311642742,0.2538611483075396,V7
17,1.3974346837392928,-0.7890895027658532,0.2807248198852997,IPS1
18,0.08293899353442528,-0.3062312152522375,-1.6986470060002403,FFC
19,1.4796801652746652,-1.8748182472937713,1.2547085148135888,V3B
20,1.6452672463996105,-1.571553768394052,0.566886466687178,LO1
21,1.5367361226344776,-1.0818553046173525,0.4345361874872787,LO2
22,0.7108057172846115,-0.09239189467720665,-0.7305185624683858,PIT
23,1.2630298121201204,-2.3746074484772755,1.3967298218354685,MT
24,1.583208098178999,-1.248515459311269,1.5575373752063084,A1
25,0.23315694562089778,0.5722126163689728,-1.4012247808925253,PSL
26,-0.028874622073789873,1.9092493458640178,1.5094051596009241,SFL
27,0.6034703698350619,0.38254637121225565,-0.678771563146073,PCV
28,0.023305756309955163,0.6112449605018969,-1.17722070380308,STV
29,1.0682952333166478,0.35153510170979857,-0.5530865251973048,7Pm
30,1.1806297677708868,-0.20070455403880463,-0.2486697831157774,7m
31,0.23647613273841134,0.09089718409574502,-0.9716320268303947,POS1
32,-0.5036369388582252,0.639439693317001,-0.0241514757625119,23d
33,0.2964683657936248,0.17471801093083184,0.1495937186826372,v23ab
34,0.11678073823424998,-0.13231481594593478,-0.28519377936961615,d23ab
35,0.6378240228573132,0.2760178282122938,-0.774178200228793,31pv
36,1.5026720724457252,-0.39935661797938005,1.4124293678151068,5m
37,0.35412105276391054,0.040623450094464164,-0.3727876929585509,5mv
38,-0.4892758386442294,0.7831774606024631,0.24153414661642278,23c
39,0.5817879584610549,0.22902391445330308,0.0050858865041531354,5L
40,0.473923518698182,1.2684561957954699,1.6207735505658811,24dd
41,-0.9555513998531913,0.35571653063258035,1.2251378322891793,24dv
42,0.6659709827317791,0.3850177204888862,-0.6188475476125834,7AL
43,-0.005413920126231629,1.7837655509414265,1.6631824777216,SCEF
44,-0.2737924692909951,1.639254454989978,1.0096886150082274,6ma
45,0.6567565634584577,0.41082128367557325,-0.21705296180595168,7Am
46,0.7813366344818029,0.2289537538155184,-0.6896769153433089,7Pl
47,0.8223643121284123,0.39993411488210145,0.33721643412696634,7PC
48,1.0950830559400997,0.1761514751996197,-0.3498506153922045,LIPv
49,0.9587724705549722,0.26726973055297015,-0.18549969304099573,VIP
50,1.101098325578331,-0.0420474174081921,-0.2520467548950201,MIP
51,1.48345137325669,-0.030414599271415318,1.0535233129574026,1
52,0.7746999296986705,0.32436986019897734,-0.8420386889786935,2
53,1.6100690253490348,-0.2756706946310437,2.2797506695347085,3a
54,0.8653702432719933,1.299312806275004,2.515895176547853,6d
55,0.3780774320109198,1.6884807489875044,2.4032713039352243,6mp
56,-0.03798591655995955,1.5051187089693543,1.3883733244283183,6v
57,-1.050336963656349,0.6516506200484319,1.137789051595987,p24pr
58,-1.5375291643037394,-0.7240198901885182,2.1486105860828117,33pr
59,-1.51745331534226,-0.2746353922129812,1.8814016788450922,a24pr
60,-0.6520674843375404,1.4853681465781696,1.0237104605526948,p32pr
61,-1.8009841495666765,-1.0526907102460386,1.0279349942151754,a24
62,-1.2272351717027055,0.437215611124428,0.5893775157941094,d32
63,-0.40602159388659737,1.673695939804793,0.706045748484599,8BM
64,-1.3363877068217096,-0.11184955606570711,0.10778469609175706,p32
65,-0.8173386705977305,0.17176185904853786,-0.7785563036391419,10r
66,0.251956007670243,0.5871383489223723,-0.19310579665757208,47m
67,0.02801369795799088,1.8132145775642938,0.8763835824545062,8Av
68,-0.19159773512901052,1.771686822371184,0.3758881179094914,8Ad
69,-0.9892387813305221,0.8103865086166919,0.05303063076744577,9m
70,-0.5000013458402244,1.49433127821755,0.7045475161038894,8BL
71,-0.4913223126272048,1.2297788310309905,-0.06924403154310561,9p
72,-0.6662772523366702,0.2457925603033462,-0.5024688924928747,10d
73,0.2087410184806976,1.6648969658096482,0.33872371025779696,8C
74,-0.5803549392941794,1.0194036397826993,-0.14716763762570523,44
75,-0.1543707460417354,1.4575401992231958,-0.44223296350108193,45
76,-0.28242987686492504,1.2094808951334366,-0.3259091720276645,47l
77,-0.4217540772068745,0.7922284238899852,-0.9473381379831403,a47r
78,-0.23597913623962888,1.427038292088604,0.49943227553013547,6r
79,0.30081733895110246,0.9819044182361231,0.4312789687890785,IFJa
80,-0.26650653098035415,1.5130801180300923,0.8461239708430146,IFJp
81,0.4424392257824471,1.3063100634815206,-0.19413814735944057,IFSp
82,-0.01675899364064271,1.0928235742006498,-0.4009097754225116,IFSa
83,0.4450088888286817,1.2472300468731679,-0.1740481422583919,p9-46v
