,gene_symbol,ds,pct
8046,MET,0.8807317011142428,1.0
13285,SV2C,0.8302891119286916,0.9999372883481751
11339,RHBDL3,0.829521933756169,0.9998745766963502
3094,CTXN3,0.8289557803016714,0.9998118650445252
12280,SLA,0.8277444511098939,0.9997491533927003
1625,C2CD4C,0.8141227097508981,0.9996864417408755
13345,SYT2,0.8134536198854857,0.9996237300890506
6564,KCTD4,0.8126276346005352,0.9995610184372257
13114,STAC2,0.8116540614593373,0.9994983067854007
616,ANKRD6,0.809897730546608,0.9994355951335758
14529,TUNAR,0.8096549921403061,0.9993728834817509
6491,KCNG1,0.8086892905274342,0.999310171829926
1196,BAIAP3,0.8051222672914372,0.9992474601781011
10798,PTGER3,0.8019064235458866,0.9991847485262761
11397,RIPOR2,0.7941778755787912,0.9991220368744512
10688,PRRX1,0.7923457439947416,0.9990593252226264
13344,SYT17,0.7919304942020261,0.9989966135708015
2898,CPNE6,0.7916426907149623,0.9989339019189766
3534,DMKN,0.7895284564082969,0.9988711902671517
13077,SSTR1,0.7866140337869745,0.9988084786153267
9370,ONECUT2,0.7858340729893325,0.9987457669635018
8865,NEFH,0.7855147354779868,0.9986830553116769
8854,NECAB2,0.7851057554198175,0.998620343659852
10280,PNMT,0.782571895848303,0.998557632008027
1878,CARTPT,0.7801310843335452,0.9984949203562021
6469,KCNA1,0.7798171717932543,0.9984322087043773
10102,PKIA,0.7687664494280966,0.9983694970525524
4937,GABRA5,0.7686321872784663,0.9983067854007275
14847,VAMP1,0.7682006184538145,0.9982440737489026
8238,MMD,0.7668083228770344,0.9981813620970776
5305,GPCPD1,0.7650889361072891,0.9981186504452527
9855,PEA15,0.7647768458977823,0.9980559387934278
6150,IL13RA2,0.7641785304328843,0.9979932271416029
12040,SEMA7A,0.7632567998427381,0.997930515489778
112,ACAN,0.762969315442082,0.997867803837953
3695,DPYSL3,0.7626109343954443,0.9978050921861282
11912,SCN1A,0.7622974086564253,0.9977423805343033
550,ANK1,0.7601361204676443,0.9976796688824784
6543,KCNS1,0.7598775100222287,0.9976169572306535
11913,SCN1B,0.7596180718015251,0.9975542455788285
1946,CCBE1,0.7588394858227053,0.9974915339270036
12209,SHD,0.7584433467595807,0.9974288222751787
4192,ESRRG,0.7572924310144582,0.9973661106233538
7169,LINC01296,0.7569156268128369,0.9973033989715289
13875,TMEM159,0.755591684457202,0.9972406873197041
12926,SPHKAP,0.7527930199740254,0.9971779756678791
11886,SCARA5,0.7518999568491676,0.9971152640160542
1923,CBLN2,0.7512599762089543,0.9970525523642293
4283,FABP7,0.7508058817345841,0.9969898407124044
